,date,nums,increment,ratio
0,2018-05,6,-329,-0.982089552239
1,2018-04,335,-70,-0.172839506173
2,2018-03,405,64,0.187683284457
3,2018-02,341,24,0.0757097791798
4,2018-01,317,-25,-0.0730994152047
5,2017-12,342,42,0.14
6,2017-11,300,-56,-0.157303370787
7,2017-10,356,107,0.429718875502
8,2017-09,249,73,0.414772727273
9,2017-08,176,-34,-0.161904761905
10,2017-07,210,-39,-0.156626506024
11,2017-06,249,-2,-0.00796812749004
12,2017-05,251,-1,-0.00396825396825
13,2017-04,252,-61,-0.194888178914
14,2017-03,313,45,0.167910447761
15,2017-02,268,-53,-0.165109034268
16,2017-01,321,-9,-0.0272727272727
17,2016-12,330,3,0.00917431192661
18,2016-11,327,54,0.197802197802
19,2016-10,273,52,0.235294117647
20,2016-09,221,-33,-0.129921259843
21,2016-08,254,41,0.192488262911
22,2016-07,213,-28,-0.116182572614
23,2016-06,241,-127,-0.345108695652
24,2016-05,368,23,0.0666666666667
25,2016-04,345,21,0.0648148148148
26,2016-03,324,28,0.0945945945946
27,2016-02,296,19,0.0685920577617
28,2016-01,277,30,0.121457489879
29,2015-12,247,-15,-0.0572519083969
30,2015-11,262,6,0.0234375
31,2015-10,256,31,0.137777777778
32,2015-09,225,13,0.061320754717
33,2015-08,212,55,0.350318471338
34,2015-07,157,-27,-0.146739130435
35,2015-06,184,23,0.142857142857
36,2015-05,161,-74,-0.314893617021
37,2015-04,235,91,0.631944444444
38,2015-03,144,9,0.0666666666667
39,2015-02,135,18,0.153846153846
40,2015-01,117,-15,-0.113636363636
41,2014-12,132,-22,-0.142857142857
42,2014-11,154,32,0.262295081967
43,2014-10,122,-22,-0.152777777778
44,2014-09,144,45,0.454545454545
45,2014-08,99,12,0.137931034483
46,2014-07,87,-10,-0.103092783505
47,2014-06,97,17,0.2125
48,2014-05,80,-33,-0.29203539823
49,2014-04,113,7,0.0660377358491
50,2014-03,106,6,0.06
51,2014-02,100,44,0.785714285714
52,2014-01,56,0,0.0
