,date,nums,increment,ratio
0,2018-05,2,-114,-0.98275862069
1,2018-04,116,-8,-0.0645161290323
2,2018-03,124,15,0.137614678899
3,2018-02,109,5,0.0480769230769
4,2018-01,104,-13,-0.111111111111
5,2017-12,117,28,0.314606741573
6,2017-11,89,-35,-0.282258064516
7,2017-10,124,46,0.589743589744
8,2017-09,78,46,1.4375
9,2017-08,32,-15,-0.31914893617
10,2017-07,47,-1,-0.0208333333333
11,2017-06,48,-4,-0.0769230769231
12,2017-05,52,-1,-0.0188679245283
13,2017-04,53,-15,-0.220588235294
14,2017-03,68,8,0.133333333333
15,2017-02,60,-4,-0.0625
16,2017-01,64,-2,-0.030303030303
17,2016-12,66,7,0.118644067797
18,2016-11,59,1,0.0172413793103
19,2016-10,58,17,0.414634146341
20,2016-09,41,7,0.205882352941
21,2016-08,34,3,0.0967741935484
22,2016-07,31,-32,-0.507936507937
23,2016-06,63,-8,-0.112676056338
24,2016-05,71,16,0.290909090909
25,2016-04,55,-44,-0.444444444444
26,2016-03,99,30,0.434782608696
27,2016-02,69,-7,-0.0921052631579
28,2016-01,76,17,0.28813559322
29,2015-12,59,-8,-0.119402985075
30,2015-11,67,5,0.0806451612903
31,2015-10,62,20,0.47619047619
32,2015-09,42,12,0.4
33,2015-08,30,-3,-0.0909090909091
34,2015-07,33,6,0.222222222222
35,2015-06,27,-1,-0.0357142857143
36,2015-05,28,-13,-0.317073170732
37,2015-04,41,3,0.0789473684211
38,2015-03,38,26,2.16666666667
39,2015-02,12,5,0.714285714286
40,2015-01,7,-9,-0.5625
41,2014-12,16,5,0.454545454545
42,2014-11,11,-9,-0.45
43,2014-10,20,1,0.0526315789474
44,2014-09,19,9,0.9
45,2014-08,10,-8,-0.444444444444
46,2014-07,18,0,0.0
47,2014-06,18,1,0.0588235294118
48,2014-05,17,-4,-0.190476190476
49,2014-04,21,2,0.105263157895
50,2014-03,19,7,0.583333333333
51,2014-02,12,1,0.0909090909091
52,2014-01,11,0,0.0
