,date,nums,increment,ratio
0,2018-04,387,-173,-0.308928571429
1,2018-03,560,49,0.0958904109589
2,2018-02,511,10,0.0199600798403
3,2018-01,501,15,0.0308641975309
4,2017-12,486,-71,-0.127468581688
5,2017-11,557,-84,-0.13104524181
6,2017-10,641,147,0.297570850202
7,2017-09,494,33,0.0715835140998
8,2017-08,461,63,0.158291457286
9,2017-07,398,-52,-0.115555555556
10,2017-06,450,7,0.0158013544018
11,2017-05,443,22,0.0522565320665
12,2017-04,421,-165,-0.28156996587
13,2017-03,586,32,0.057761732852
14,2017-02,554,41,0.0799220272904
15,2017-01,513,-41,-0.0740072202166
16,2016-12,554,-200,-0.26525198939
17,2016-11,754,408,1.17919075145
18,2016-10,346,-147,-0.298174442191
19,2016-09,493,-12,-0.0237623762376
20,2016-08,505,45,0.0978260869565
21,2016-07,460,25,0.0574712643678
22,2016-06,435,-211,-0.326625386997
23,2016-05,646,225,0.534441805226
24,2016-04,421,-60,-0.12474012474
25,2016-03,481,18,0.0388768898488
26,2016-02,463,111,0.315340909091
27,2016-01,352,1,0.002849002849
28,2015-12,351,9,0.0263157894737
29,2015-11,342,-3,-0.00869565217391
30,2015-10,345,82,0.311787072243
31,2015-09,263,33,0.14347826087
32,2015-08,230,-9,-0.0376569037657
33,2015-07,239,-11,-0.044
34,2015-06,250,-7,-0.0272373540856
35,2015-05,257,-110,-0.299727520436
36,2015-04,367,98,0.364312267658
37,2015-03,269,-46,-0.146031746032
38,2015-02,315,19,0.0641891891892
39,2015-01,296,-8,-0.0263157894737
40,2014-12,304,83,0.37556561086
41,2014-11,221,-7,-0.030701754386
42,2014-10,228,-19,-0.0769230769231
43,2014-09,247,-195,-0.441176470588
44,2014-08,442,258,1.40217391304
45,2014-07,184,18,0.10843373494
46,2014-06,166,-67,-0.287553648069
47,2014-05,233,-30,-0.114068441065
48,2014-04,263,-140,-0.347394540943
49,2014-03,403,-30,-0.0692840646651
50,2014-02,433,-389,-0.473236009732
51,2014-01,822,0,0.0
