,date,nums,increment,ratio
0,2018-04,33,-40,-0.547945205479
1,2018-03,73,7,0.106060606061
2,2018-02,66,1,0.0153846153846
3,2018-01,65,-41,-0.38679245283
4,2017-12,106,-139,-0.567346938776
5,2017-11,245,-70,-0.222222222222
6,2017-10,315,244,3.43661971831
7,2017-09,71,15,0.267857142857
8,2017-08,56,-2,-0.0344827586207
9,2017-07,58,-25,-0.301204819277
10,2017-06,83,60,2.60869565217
11,2017-05,23,-29,-0.557692307692
12,2017-04,52,-81,-0.609022556391
13,2017-03,133,121,10.0833333333
14,2017-02,12,-31,-0.720930232558
15,2017-01,43,-80,-0.650406504065
16,2016-12,123,-48,-0.280701754386
17,2016-11,171,129,3.07142857143
18,2016-10,42,20,0.909090909091
19,2016-09,22,-19,-0.463414634146
20,2016-08,41,28,2.15384615385
21,2016-07,13,-32,-0.711111111111
22,2016-06,45,6,0.153846153846
23,2016-05,39,-3,-0.0714285714286
24,2016-04,42,-72,-0.631578947368
25,2016-03,114,53,0.868852459016
26,2016-02,61,28,0.848484848485
27,2016-01,33,-10,-0.232558139535
28,2015-12,43,13,0.433333333333
29,2015-11,30,-43,-0.58904109589
30,2015-10,73,-98,-0.573099415205
31,2015-09,171,46,0.368
32,2015-08,125,78,1.65957446809
33,2015-07,47,-26,-0.356164383562
34,2015-06,73,-37,-0.336363636364
35,2015-05,110,-10,-0.0833333333333
36,2015-04,120,-16,-0.117647058824
37,2015-03,136,60,0.789473684211
38,2015-02,76,29,0.617021276596
39,2015-01,47,-2,-0.0408163265306
40,2014-12,49,23,0.884615384615
41,2014-11,26,1,0.04
42,2014-10,25,7,0.388888888889
43,2014-09,18,-1,-0.0526315789474
44,2014-08,19,-23,-0.547619047619
45,2014-07,42,-27,-0.391304347826
46,2014-06,69,-32,-0.316831683168
47,2014-05,101,-31,-0.234848484848
48,2014-04,132,47,0.552941176471
49,2014-03,85,50,1.42857142857
50,2014-02,35,-32,-0.477611940299
51,2014-01,67,-172,-0.719665271967
52,2013-12,239,192,4.08510638298
53,2013-11,47,23,0.958333333333
54,2013-10,24,11,0.846153846154
55,2013-09,13,-24,-0.648648648649
56,2013-08,37,23,1.64285714286
57,2013-07,14,-20,-0.588235294118
58,2013-06,34,16,0.888888888889
59,2013-05,18,-63,-0.777777777778
60,2013-04,81,46,1.31428571429
61,2013-03,35,10,0.4
62,2013-02,25,-5,-0.166666666667
63,2013-01,30,-68,-0.69387755102
64,2012-12,98,-31,-0.240310077519
65,2012-11,129,-44,-0.254335260116
66,2012-10,173,3,0.0176470588235
67,2012-09,170,168,84.0
68,2012-08,2,-5,-0.714285714286
69,2012-07,7,-10,-0.588235294118
70,2012-06,17,-131,-0.885135135135
71,2012-05,148,117,3.77419354839
72,2012-04,31,8,0.347826086957
73,2012-03,23,8,0.533333333333
74,2012-02,15,2,0.153846153846
75,2012-01,13,-11,-0.458333333333
76,2011-12,24,19,3.8
77,2011-11,5,-8,-0.615384615385
78,2011-10,13,-38,-0.745098039216
79,2011-09,51,29,1.31818181818
80,2011-08,22,-15,-0.405405405405
81,2011-07,37,15,0.681818181818
82,2011-06,22,8,0.571428571429
83,2011-05,14,6,0.75
84,2011-04,8,-58,-0.878787878788
85,2011-03,66,54,4.5
86,2011-02,12,0,0.0
87,2011-01,12,-10,-0.454545454545
88,2010-12,22,-33,-0.6
89,2010-11,55,3,0.0576923076923
90,2010-10,52,43,4.77777777778
91,2010-09,9,-61,-0.871428571429
92,2010-08,70,65,13.0
93,2010-07,5,-61,-0.924242424242
94,2010-06,66,41,1.64
95,2010-05,25,15,1.5
96,2010-04,10,-43,-0.811320754717
97,2010-03,53,18,0.514285714286
98,2010-02,35,-113,-0.763513513514
99,2010-01,148,105,2.44186046512
100,2009-12,43,32,2.90909090909
101,2009-11,11,-86,-0.886597938144
102,2009-10,97,65,2.03125
103,2009-09,32,6,0.230769230769
104,2009-08,26,-12,-0.315789473684
105,2009-07,38,17,0.809523809524
106,2009-06,21,-2,-0.0869565217391
107,2009-05,23,10,0.769230769231
108,2009-04,13,-70,-0.843373493976
109,2009-03,83,67,4.1875
110,2009-02,16,-15,-0.483870967742
111,2009-01,31,-8,-0.205128205128
112,2008-12,39,-15,-0.277777777778
113,2008-11,54,11,0.255813953488
114,2008-08,43,21,0.954545454545
115,2008-07,22,0,0.0
116,2008-06,22,15,2.14285714286
117,2008-05,7,-3,-0.3
118,2008-04,10,-11,-0.52380952381
119,2008-03,21,0,0.0
120,2008-02,21,-13,-0.382352941176
121,2008-01,34,8,0.307692307692
122,2007-12,26,-22,-0.458333333333
123,2007-11,48,1,0.0212765957447
124,2007-10,47,33,2.35714285714
125,2007-09,14,12,6.0
126,2007-07,2,-23,-0.92
127,2007-06,25,-35,-0.583333333333
128,2007-05,60,6,0.111111111111
129,2007-04,54,16,0.421052631579
130,2007-03,38,34,8.5
131,2007-02,4,-34,-0.894736842105
132,2007-01,38,-3,-0.0731707317073
133,2006-12,41,35,5.83333333333
134,2006-11,6,-11,-0.647058823529
135,2006-10,17,13,3.25
136,2006-09,4,-8,-0.666666666667
137,2006-07,12,6,1.0
138,2006-06,6,-49,-0.890909090909
139,2006-05,55,22,0.666666666667
140,2006-04,33,-10,-0.232558139535
141,2006-03,43,33,3.3
142,2006-01,10,-49,-0.830508474576
143,2005-12,59,0,0.0
