,date,nums,increment,ratio
0,2018-04,4,0,0.0
1,2018-03,4,3,3.0
2,2018-02,1,-1,-0.5
3,2017-12,2,-6,-0.75
4,2017-10,8,3,0.6
5,2017-09,5,2,0.666666666667
6,2017-08,3,2,2.0
7,2017-07,1,-1,-0.5
8,2017-06,2,1,1.0
9,2017-04,1,-18,-0.947368421053
10,2017-03,19,7,0.583333333333
11,2017-02,12,4,0.5
12,2016-12,8,6,3.0
13,2016-11,2,-1,-0.333333333333
14,2016-10,3,2,2.0
15,2016-09,1,-2,-0.666666666667
16,2016-08,3,2,2.0
17,2016-07,1,-10,-0.909090909091
18,2016-06,11,0,0.0
19,2016-05,11,10,10.0
20,2016-04,1,0,0.0
21,2016-02,1,-5,-0.833333333333
22,2016-01,6,5,5.0
23,2015-12,1,-3,-0.75
24,2015-11,4,-6,-0.6
25,2015-09,10,9,9.0
26,2015-08,1,-4,-0.8
27,2015-07,5,4,4.0
28,2015-06,1,0,0.0
29,2015-04,1,0,0.0
30,2014-11,1,0,0.0
31,2014-09,1,-1,-0.5
32,2014-03,2,-16,-0.888888888889
33,2014-02,18,17,17.0
34,2014-01,1,-3,-0.75
35,2013-11,4,-3,-0.428571428571
36,2013-09,7,1,0.166666666667
37,2013-08,6,1,0.2
38,2013-07,5,4,4.0
39,2013-06,1,-2,-0.666666666667
40,2013-05,3,2,2.0
41,2013-04,1,-3,-0.75
42,2013-03,4,1,0.333333333333
43,2012-12,3,0,0.0
44,2012-11,3,2,2.0
45,2012-09,1,-2,-0.666666666667
46,2012-08,3,0,0.0
47,2012-07,3,-1,-0.25
48,2012-03,4,-1,-0.2
49,2012-01,5,-12,-0.705882352941
50,2011-08,17,15,7.5
51,2011-06,2,0,0.0
