,date,nums,increment,ratio
0,2018-04,82,-55,-0.401459854015
1,2018-03,137,68,0.985507246377
2,2018-02,69,-29,-0.295918367347
3,2018-01,98,-19,-0.162393162393
4,2017-12,117,68,1.38775510204
5,2017-11,49,7,0.166666666667
6,2017-10,42,-38,-0.475
7,2017-09,80,28,0.538461538462
8,2017-08,52,22,0.733333333333
9,2017-07,30,-27,-0.473684210526
10,2017-06,57,1,0.0178571428571
11,2017-05,56,10,0.217391304348
12,2017-04,46,-46,-0.5
13,2017-03,92,4,0.0454545454545
14,2017-02,88,24,0.375
15,2017-01,64,-12,-0.157894736842
16,2016-12,76,-24,-0.24
17,2016-11,100,47,0.88679245283
18,2016-10,53,-15,-0.220588235294
19,2016-09,68,-11,-0.139240506329
20,2016-08,79,12,0.179104477612
21,2016-07,67,-86,-0.562091503268
22,2016-06,153,-23,-0.130681818182
23,2016-05,176,160,10.0
24,2016-04,16,-46,-0.741935483871
25,2016-03,62,-12,-0.162162162162
26,2016-02,74,-32,-0.301886792453
27,2016-01,106,57,1.16326530612
28,2015-12,49,-55,-0.528846153846
29,2015-11,104,48,0.857142857143
30,2015-10,56,-16,-0.222222222222
31,2015-09,72,-17,-0.191011235955
32,2015-08,89,-29,-0.245762711864
33,2015-07,118,92,3.53846153846
34,2015-06,26,-68,-0.723404255319
35,2015-05,94,3,0.032967032967
36,2015-04,91,-9,-0.09
37,2015-03,100,93,13.2857142857
38,2015-02,7,-12,-0.631578947368
39,2015-01,19,12,1.71428571429
40,2014-12,7,-3,-0.3
41,2014-11,10,4,0.666666666667
42,2014-10,6,-7,-0.538461538462
43,2014-09,13,7,1.16666666667
44,2014-08,6,-24,-0.8
45,2014-07,30,20,2.0
46,2014-06,10,-23,-0.69696969697
47,2014-05,33,9,0.375
48,2014-04,24,-19,-0.441860465116
49,2014-03,43,-15,-0.258620689655
50,2014-02,58,8,0.16
51,2014-01,50,5,0.111111111111
52,2013-12,45,-185,-0.804347826087
53,2013-11,230,91,0.654676258993
54,2013-10,139,30,0.275229357798
55,2013-09,109,29,0.3625
56,2013-08,80,41,1.05128205128
57,2013-07,39,15,0.625
58,2013-06,24,-63,-0.724137931034
59,2013-05,87,-44,-0.335877862595
60,2013-04,131,63,0.926470588235
61,2013-03,68,9,0.152542372881
62,2013-02,59,4,0.0727272727273
63,2013-01,55,7,0.145833333333
64,2012-12,48,3,0.0666666666667
65,2012-11,45,-41,-0.476744186047
66,2012-10,86,19,0.283582089552
67,2012-09,67,18,0.367346938776
68,2012-08,49,-1,-0.02
69,2012-07,50,28,1.27272727273
70,2012-06,22,-59,-0.728395061728
71,2012-05,81,13,0.191176470588
72,2012-04,68,-33,-0.326732673267
73,2012-03,101,17,0.202380952381
74,2012-02,84,-24,-0.222222222222
75,2012-01,108,71,1.91891891892
76,2011-12,37,-74,-0.666666666667
77,2011-11,111,4,0.0373831775701
78,2011-10,107,36,0.507042253521
79,2011-09,71,-2,-0.027397260274
80,2011-08,73,-86,-0.540880503145
81,2011-07,159,26,0.195488721805
82,2011-06,133,-30,-0.184049079755
83,2011-05,163,42,0.347107438017
84,2011-04,121,-47,-0.279761904762
85,2011-03,168,72,0.75
86,2011-02,96,37,0.627118644068
87,2011-01,59,11,0.229166666667
88,2010-12,48,-7,-0.127272727273
89,2010-11,55,-41,-0.427083333333
90,2010-10,96,11,0.129411764706
91,2010-09,85,3,0.0365853658537
92,2010-08,82,4,0.0512820512821
93,2010-07,78,29,0.591836734694
94,2010-06,49,-44,-0.47311827957
95,2010-05,93,36,0.631578947368
96,2010-04,57,-47,-0.451923076923
97,2010-03,104,-16,-0.133333333333
98,2010-02,120,-49,-0.289940828402
99,2010-01,169,65,0.625
100,2009-12,104,32,0.444444444444
101,2009-11,72,-26,-0.265306122449
102,2009-10,98,79,4.15789473684
103,2009-09,19,-56,-0.746666666667
104,2009-08,75,43,1.34375
105,2009-07,32,-15,-0.31914893617
106,2009-06,47,18,0.620689655172
107,2009-05,29,0,0.0
108,2009-04,29,2,0.0740740740741
109,2009-03,27,11,0.6875
110,2009-02,16,3,0.230769230769
111,2009-01,13,-14,-0.518518518519
112,2008-12,27,-10,-0.27027027027
113,2008-11,37,-36,-0.493150684932
114,2008-10,73,55,3.05555555556
115,2008-09,18,-9,-0.333333333333
116,2008-08,27,1,0.0384615384615
117,2008-07,26,20,3.33333333333
118,2008-06,6,-18,-0.75
119,2008-05,24,-51,-0.68
120,2008-04,75,51,2.125
121,2008-03,24,-16,-0.4
122,2008-02,40,36,9.0
123,2008-01,4,-35,-0.897435897436
124,2007-12,39,22,1.29411764706
125,2007-11,17,-57,-0.77027027027
126,2007-10,74,65,7.22222222222
127,2007-09,9,-25,-0.735294117647
128,2007-08,34,-12,-0.260869565217
129,2007-07,46,37,4.11111111111
130,2007-06,9,0,0.0
