,date,nums,increment,ratio
0,2018-04,32,-10,-0.238095238095
1,2018-03,42,9,0.272727272727
2,2018-02,33,-8,-0.19512195122
3,2018-01,41,1,0.025
4,2017-12,40,0,0.0
5,2017-11,40,7,0.212121212121
6,2017-10,33,5,0.178571428571
7,2017-09,28,-12,-0.3
8,2017-08,40,-2,-0.047619047619
9,2017-07,42,-2,-0.0454545454545
10,2017-06,44,-2,-0.0434782608696
11,2017-05,46,16,0.533333333333
12,2017-04,30,-12,-0.285714285714
13,2017-03,42,3,0.0769230769231
14,2017-02,39,14,0.56
15,2017-01,25,-15,-0.375
16,2016-12,40,3,0.0810810810811
17,2016-11,37,1,0.0277777777778
18,2016-10,36,-5,-0.121951219512
19,2016-09,41,-4,-0.0888888888889
20,2016-08,45,10,0.285714285714
21,2016-07,35,-3,-0.0789473684211
22,2016-06,38,3,0.0857142857143
23,2016-05,35,-1,-0.0277777777778
24,2016-04,36,-4,-0.1
25,2016-03,40,5,0.142857142857
26,2016-02,35,4,0.129032258065
27,2016-01,31,-8,-0.205128205128
28,2015-12,39,2,0.0540540540541
29,2015-11,37,5,0.15625
30,2015-10,32,-2,-0.0588235294118
31,2015-09,34,8,0.307692307692
32,2015-08,26,-13,-0.333333333333
33,2015-07,39,10,0.344827586207
34,2015-06,29,4,0.16
35,2015-05,25,3,0.136363636364
36,2015-04,22,-5,-0.185185185185
37,2015-03,27,7,0.35
38,2015-02,20,-2,-0.0909090909091
39,2015-01,22,-1,-0.0434782608696
40,2014-12,23,8,0.533333333333
41,2014-11,15,-7,-0.318181818182
42,2014-10,22,-5,-0.185185185185
43,2014-09,27,7,0.35
44,2014-08,20,-7,-0.259259259259
45,2014-07,27,4,0.173913043478
46,2014-06,23,-9,-0.28125
47,2014-05,32,7,0.28
48,2014-04,25,4,0.190476190476
49,2014-03,21,-8,-0.275862068966
50,2014-02,29,12,0.705882352941
51,2014-01,17,-4,-0.190476190476
52,2013-12,21,1,0.05
53,2013-11,20,5,0.333333333333
54,2013-10,15,-8,-0.347826086957
55,2013-09,23,1,0.0454545454545
56,2013-08,22,4,0.222222222222
57,2013-07,18,1,0.0588235294118
58,2013-06,17,-3,-0.15
59,2013-05,20,1,0.0526315789474
60,2013-04,19,-1,-0.05
61,2013-03,20,9,0.818181818182
62,2013-02,11,-5,-0.3125
63,2013-01,16,2,0.142857142857
64,2012-12,14,2,0.166666666667
65,2012-11,12,1,0.0909090909091
66,2012-10,11,-1,-0.0833333333333
67,2012-09,12,-2,-0.142857142857
68,2012-08,14,3,0.272727272727
69,2012-07,11,0,0.0
70,2012-06,11,-1,-0.0833333333333
71,2012-05,12,2,0.2
72,2012-04,10,-1,-0.0909090909091
73,2012-03,11,5,0.833333333333
74,2012-02,6,0,0.0
75,2012-01,6,0,0.0
76,2011-12,6,3,1.0
77,2011-11,3,-7,-0.7
78,2011-10,10,3,0.428571428571
79,2011-09,7,-2,-0.222222222222
80,2011-08,9,1,0.125
81,2011-07,8,4,1.0
82,2011-06,4,-3,-0.428571428571
83,2011-05,7,4,1.33333333333
84,2011-04,3,-4,-0.571428571429
85,2011-03,7,4,1.33333333333
86,2011-02,3,-4,-0.571428571429
87,2011-01,7,2,0.4
88,2010-12,5,1,0.25
89,2010-11,4,-2,-0.333333333333
90,2010-10,6,0,0.0
