,date,nums,increment,ratio
0,2018-04,37,-22,-0.372881355932
1,2018-03,59,32,1.18518518519
2,2018-02,27,-15,-0.357142857143
3,2018-01,42,18,0.75
4,2017-12,24,-8,-0.25
5,2017-11,32,6,0.230769230769
6,2017-10,26,6,0.3
7,2017-09,20,-9,-0.310344827586
8,2017-08,29,8,0.380952380952
9,2017-07,21,-6,-0.222222222222
10,2017-06,27,0,0.0
11,2017-05,27,1,0.0384615384615
12,2017-04,26,-28,-0.518518518519
13,2017-03,54,4,0.08
14,2017-02,50,7,0.162790697674
15,2017-01,43,-17,-0.283333333333
16,2016-12,60,10,0.2
17,2016-11,50,19,0.612903225806
18,2016-10,31,-9,-0.225
19,2016-09,40,3,0.0810810810811
20,2016-08,37,-2,-0.0512820512821
21,2016-07,39,-34,-0.465753424658
22,2016-06,73,39,1.14705882353
23,2016-05,34,-2,-0.0555555555556
24,2016-04,36,-6,-0.142857142857
25,2016-03,42,16,0.615384615385
26,2016-02,26,-24,-0.48
27,2016-01,50,19,0.612903225806
28,2015-12,31,-13,-0.295454545455
29,2015-11,44,9,0.257142857143
30,2015-10,35,7,0.25
31,2015-09,28,3,0.12
32,2015-08,25,-26,-0.509803921569
33,2015-07,51,35,2.1875
34,2015-06,16,-17,-0.515151515152
35,2015-05,33,19,1.35714285714
36,2015-04,14,-12,-0.461538461538
37,2015-03,26,8,0.444444444444
38,2015-02,18,-2,-0.1
39,2015-01,20,8,0.666666666667
40,2014-12,12,-2,-0.142857142857
41,2014-11,14,-2,-0.125
42,2014-10,16,3,0.230769230769
43,2014-09,13,-17,-0.566666666667
44,2014-08,30,18,1.5
45,2014-07,12,2,0.2
46,2014-06,10,-9,-0.473684210526
47,2014-05,19,10,1.11111111111
48,2014-04,9,-12,-0.571428571429
49,2014-03,21,-15,-0.416666666667
50,2014-02,36,16,0.8
51,2014-01,20,10,1.0
52,2013-12,10,-2,-0.166666666667
53,2013-11,12,-11,-0.478260869565
54,2013-10,23,-1,-0.0416666666667
55,2013-09,24,4,0.2
56,2013-08,20,12,1.5
57,2013-07,8,1,0.142857142857
58,2013-06,7,-21,-0.75
59,2013-05,28,9,0.473684210526
60,2013-04,19,-2,-0.0952380952381
61,2013-03,21,0,0.0
62,2013-02,21,2,0.105263157895
63,2013-01,19,-5,-0.208333333333
64,2012-12,24,15,1.66666666667
65,2012-11,9,-3,-0.25
66,2012-10,12,3,0.333333333333
67,2012-09,9,-10,-0.526315789474
68,2012-08,19,7,0.583333333333
69,2012-07,12,3,0.333333333333
70,2012-06,9,-13,-0.590909090909
71,2012-05,22,-1,-0.0434782608696
72,2012-04,23,8,0.533333333333
73,2012-03,15,-5,-0.25
74,2012-02,20,-5,-0.2
75,2012-01,25,20,4.0
76,2011-12,5,-22,-0.814814814815
77,2011-11,27,-1,-0.0357142857143
78,2011-10,28,13,0.866666666667
79,2011-09,15,-7,-0.318181818182
80,2011-08,22,-3,-0.12
81,2011-07,25,4,0.190476190476
82,2011-06,21,-5,-0.192307692308
83,2011-05,26,14,1.16666666667
84,2011-04,12,0,0.0
85,2011-03,12,1,0.0909090909091
86,2011-02,11,2,0.222222222222
87,2011-01,9,4,0.8
88,2010-12,5,-10,-0.666666666667
89,2010-11,15,10,2.0
90,2010-10,5,0,0.0
