,date,nums,increment,ratio
0,2018-04,70,0,0.0
1,2018-03,70,5,0.0769230769231
2,2018-02,65,-4,-0.0579710144928
3,2018-01,69,25,0.568181818182
4,2017-12,44,-24,-0.352941176471
5,2017-11,68,0,0.0
6,2017-10,68,-5,-0.0684931506849
7,2017-09,73,-27,-0.27
8,2017-08,100,39,0.639344262295
9,2017-07,61,6,0.109090909091
10,2017-06,55,-35,-0.388888888889
11,2017-05,90,27,0.428571428571
12,2017-04,63,-9,-0.125
13,2017-03,72,28,0.636363636364
14,2017-02,44,-9,-0.169811320755
15,2017-01,53,14,0.358974358974
16,2016-12,39,-14,-0.264150943396
17,2016-11,53,5,0.104166666667
18,2016-10,48,-33,-0.407407407407
19,2016-09,81,26,0.472727272727
20,2016-08,55,-4,-0.0677966101695
21,2016-07,59,15,0.340909090909
22,2016-06,44,-10,-0.185185185185
23,2016-05,54,4,0.08
24,2016-04,50,-3,-0.0566037735849
25,2016-03,53,15,0.394736842105
26,2016-02,38,-55,-0.591397849462
27,2016-01,93,31,0.5
28,2015-12,62,24,0.631578947368
29,2015-11,38,-1,-0.025641025641
30,2015-10,39,8,0.258064516129
31,2015-09,31,-16,-0.340425531915
32,2015-08,47,11,0.305555555556
33,2015-07,36,0,0.0
34,2015-06,36,1,0.0285714285714
35,2015-05,35,0,0.0
36,2015-04,35,6,0.206896551724
37,2015-03,29,5,0.208333333333
38,2015-02,24,-3,-0.111111111111
39,2015-01,27,-1,-0.0357142857143
40,2014-12,28,9,0.473684210526
41,2014-11,19,-1,-0.05
42,2014-10,20,-5,-0.2
43,2014-09,25,1,0.0416666666667
44,2014-08,24,6,0.333333333333
45,2014-07,18,-2,-0.1
46,2014-06,20,5,0.333333333333
47,2014-05,15,-2,-0.117647058824
48,2014-04,17,-1,-0.0555555555556
49,2014-03,18,5,0.384615384615
50,2014-02,13,0,0.0
51,2014-01,13,-15,-0.535714285714
52,2013-12,28,10,0.555555555556
53,2013-11,18,3,0.2
54,2013-10,15,4,0.363636363636
55,2013-09,11,-10,-0.47619047619
56,2013-08,21,4,0.235294117647
57,2013-07,17,2,0.133333333333
58,2013-06,15,4,0.363636363636
59,2013-05,11,-9,-0.45
60,2013-04,20,2,0.111111111111
61,2013-03,18,6,0.5
62,2013-02,12,10,5.0
63,2013-01,2,-1,-0.333333333333
64,2012-12,3,-1,-0.25
65,2012-10,4,0,0.0
66,2012-09,4,1,0.333333333333
67,2012-08,3,-8,-0.727272727273
68,2012-07,11,-3,-0.214285714286
69,2012-06,14,6,0.75
70,2012-05,8,-4,-0.333333333333
71,2012-04,12,1,0.0909090909091
72,2012-03,11,-4,-0.266666666667
73,2012-02,15,5,0.5
74,2012-01,10,-7,-0.411764705882
75,2011-12,17,-1,-0.0555555555556
76,2011-11,18,1,0.0588235294118
77,2011-10,17,5,0.416666666667
78,2011-09,12,-2,-0.142857142857
79,2011-08,14,5,0.555555555556
80,2011-07,9,-5,-0.357142857143
81,2011-06,14,-2,-0.125
82,2011-05,16,8,1.0
83,2011-04,8,-10,-0.555555555556
84,2011-03,18,1,0.0588235294118
85,2011-02,17,7,0.7
86,2011-01,10,-8,-0.444444444444
87,2010-12,18,-2,-0.1
88,2010-11,20,-235,-0.921568627451
89,2010-10,255,0,0.0
