,date,nums,increment,ratio
0,2018-04,14,-22,-0.611111111111
1,2018-03,36,13,0.565217391304
2,2018-02,23,14,1.55555555556
3,2018-01,9,0,0.0
4,2017-12,9,2,0.285714285714
5,2017-11,7,2,0.4
6,2017-09,5,2,0.666666666667
7,2017-08,3,-3,-0.5
8,2017-07,6,-2,-0.25
9,2017-06,8,-5,-0.384615384615
10,2017-05,13,10,3.33333333333
11,2017-04,3,0,0.0
12,2017-03,3,-2,-0.4
13,2017-02,5,2,0.666666666667
14,2016-12,3,-10,-0.769230769231
15,2016-11,13,-5,-0.277777777778
16,2016-10,18,5,0.384615384615
17,2016-09,13,1,0.0833333333333
18,2016-08,12,0,0.0
19,2016-07,12,10,5.0
20,2016-06,2,-1,-0.333333333333
21,2016-05,3,0,0.0
22,2016-03,3,-1,-0.25
23,2016-02,4,-1,-0.2
24,2016-01,5,-31,-0.861111111111
25,2015-12,36,31,6.2
26,2015-11,5,-3,-0.375
27,2015-09,8,4,1.0
28,2015-08,4,-2,-0.333333333333
29,2015-07,6,-1,-0.142857142857
30,2015-06,7,5,2.5
31,2015-05,2,-2,-0.5
32,2015-04,4,0,0.0
33,2015-03,4,-1,-0.2
34,2015-02,5,4,4.0
35,2015-01,1,-1,-0.5
36,2014-12,2,-8,-0.8
37,2014-11,10,8,4.0
38,2014-10,2,-2,-0.5
39,2014-08,4,-2,-0.333333333333
40,2014-07,6,5,5.0
41,2014-06,1,0,0.0
42,2014-05,1,-3,-0.75
43,2014-04,4,-4,-0.5
44,2014-03,8,1,0.142857142857
45,2014-02,7,3,0.75
46,2014-01,4,3,3.0
47,2013-12,1,-1,-0.5
48,2013-11,2,1,1.0
49,2013-09,1,-6,-0.857142857143
50,2013-08,7,-13,-0.65
51,2013-07,20,13,1.85714285714
52,2013-06,7,-11,-0.611111111111
53,2013-05,18,14,3.5
54,2013-04,4,-7,-0.636363636364
55,2013-03,11,-10,-0.47619047619
56,2013-02,21,20,20.0
57,2013-01,1,-3,-0.75
58,2012-12,4,-5,-0.555555555556
59,2012-10,9,8,8.0
60,2012-08,1,0,0.0
61,2012-05,1,-5,-0.833333333333
62,2012-04,6,3,1.0
63,2012-03,3,-1,-0.25
64,2012-02,4,-11,-0.733333333333
65,2012-01,15,5,0.5
66,2011-12,10,-12,-0.545454545455
67,2011-11,22,-3,-0.12
68,2011-10,25,19,3.16666666667
69,2011-09,6,-2,-0.25
70,2011-08,8,-14,-0.636363636364
71,2011-07,22,13,1.44444444444
72,2011-06,9,-19,-0.678571428571
73,2011-05,28,22,3.66666666667
74,2011-04,6,-10,-0.625
75,2011-03,16,0,0.0
76,2011-02,16,-13,-0.448275862069
77,2011-01,29,15,1.07142857143
78,2010-12,14,6,0.75
79,2010-11,8,-24,-0.75
80,2010-10,32,-11,-0.255813953488
81,2010-09,43,15,0.535714285714
82,2010-08,28,-15,-0.348837209302
83,2010-07,43,4,0.102564102564
84,2010-06,39,32,4.57142857143
85,2010-05,7,-58,-0.892307692308
86,2010-04,65,15,0.3
87,2010-03,50,0,0.0
