,date,nums,increment,ratio
0,2018-03,4,3,3.0
1,2018-01,1,0,0.0
2,2017-10,1,0,0.0
3,2017-08,1,-3,-0.75
4,2017-06,4,1,0.333333333333
5,2017-05,3,0,0.0
6,2017-04,3,1,0.5
7,2017-02,2,0,0.0
8,2017-01,2,-1,-0.333333333333
9,2016-12,3,2,2.0
10,2016-11,1,0,0.0
11,2016-10,1,-3,-0.75
12,2016-09,4,2,1.0
13,2016-08,2,-4,-0.666666666667
14,2016-07,6,4,2.0
15,2016-06,2,-7,-0.777777777778
16,2016-05,9,8,8.0
17,2016-03,1,0,0.0
18,2016-02,1,0,0.0
19,2016-01,1,-1,-0.5
20,2015-12,2,-2,-0.5
21,2015-11,4,2,1.0
22,2015-10,2,-1,-0.333333333333
23,2015-09,3,1,0.5
24,2015-08,2,-1,-0.333333333333
25,2015-06,3,0,0.0
26,2015-05,3,2,2.0
27,2015-04,1,-1,-0.5
28,2015-02,2,1,1.0
29,2015-01,1,-1,-0.5
30,2014-11,2,1,1.0
31,2014-10,1,-2,-0.666666666667
32,2014-07,3,1,0.5
33,2014-06,2,1,1.0
34,2014-05,1,0,0.0
35,2014-04,1,-2,-0.666666666667
36,2014-03,3,2,2.0
37,2014-02,1,0,0.0
38,2014-01,1,0,0.0
39,2013-12,1,0,0.0
40,2013-11,1,0,0.0
41,2013-09,1,-1,-0.5
42,2013-08,2,-1,-0.333333333333
43,2013-07,3,0,0.0
44,2013-06,3,1,0.5
45,2013-04,2,1,1.0
46,2013-03,1,-1,-0.5
47,2013-02,2,0,0.0
48,2013-01,2,-2,-0.5
49,2012-12,4,2,1.0
50,2012-11,2,1,1.0
51,2012-10,1,0,0.0
52,2012-09,1,-1,-0.5
53,2012-08,2,-3,-0.6
54,2012-07,5,3,1.5
55,2012-05,2,-1,-0.333333333333
56,2012-04,3,0,0.0
57,2012-03,3,1,0.5
58,2012-02,2,1,1.0
59,2012-01,1,0,0.0
60,2011-12,1,0,0.0
61,2011-11,1,-1,-0.5
62,2011-07,2,1,1.0
63,2011-06,1,0,0.0
64,2011-05,1,-2,-0.666666666667
65,2011-04,3,2,2.0
66,2011-02,1,-3,-0.75
67,2011-01,4,2,1.0
68,2010-11,2,0,0.0
69,2010-10,2,1,1.0
70,2010-09,1,0,0.0
71,2010-08,1,-2,-0.666666666667
72,2010-07,3,2,2.0
73,2010-06,1,-1,-0.5
74,2010-05,2,0,0.0
