,date,nums,increment,ratio
0,2018-05,10,-8,-0.444444444444
1,2018-04,18,10,1.25
2,2018-03,8,-10,-0.555555555556
3,2018-02,18,14,3.5
4,2018-01,4,2,1.0
5,2017-12,2,1,1.0
6,2017-10,1,0,0.0
7,2017-08,1,-2,-0.666666666667
8,2017-07,3,0,0.0
9,2017-06,3,1,0.5
10,2017-05,2,-3,-0.6
11,2017-04,5,4,4.0
12,2017-02,1,-9,-0.9
13,2016-12,10,5,1.0
14,2016-11,5,1,0.25
15,2016-10,4,2,1.0
16,2016-09,2,-3,-0.6
17,2016-08,5,3,1.5
18,2016-07,2,0,0.0
19,2016-06,2,0,0.0
20,2016-05,2,0,0.0
21,2016-03,2,-5,-0.714285714286
22,2016-02,7,5,2.5
23,2016-01,2,-4,-0.666666666667
24,2015-12,6,4,2.0
25,2015-11,2,-3,-0.6
26,2015-09,5,3,1.5
27,2015-08,2,0,0.0
28,2015-07,2,0,0.0
29,2015-06,2,1,1.0
30,2015-05,1,0,0.0
31,2015-04,1,0,0.0
32,2015-03,1,-1,-0.5
33,2015-02,2,-2,-0.5
34,2014-11,4,2,1.0
35,2014-10,2,-2,-0.5
36,2014-08,4,2,1.0
37,2014-07,2,1,1.0
38,2014-06,1,0,0.0
39,2014-04,1,-2,-0.666666666667
40,2014-03,3,2,2.0
41,2014-01,1,-1,-0.5
42,2013-08,2,-1,-0.333333333333
43,2013-07,3,0,0.0
44,2013-06,3,2,2.0
45,2013-05,1,-2,-0.666666666667
46,2013-04,3,0,0.0
47,2013-03,3,-1,-0.25
48,2013-02,4,2,1.0
49,2012-12,2,-1,-0.333333333333
50,2012-10,3,2,2.0
51,2012-09,1,-1,-0.5
52,2012-07,2,1,1.0
53,2012-03,1,-3,-0.75
54,2012-01,4,1,0.333333333333
55,2011-12,3,2,2.0
56,2011-11,1,0,0.0
57,2011-10,1,0,0.0
58,2011-09,1,-1,-0.5
59,2011-07,2,0,0.0
60,2011-06,2,1,1.0
61,2011-01,1,0,0.0
