,date,nums,increment,ratio
0,2018-04,1,-4,-0.8
1,2018-03,5,-2,-0.285714285714
2,2017-12,7,6,6.0
3,2017-10,1,-1,-0.5
4,2017-09,2,1,1.0
5,2017-07,1,-1,-0.5
6,2017-06,2,-3,-0.6
7,2017-05,5,2,0.666666666667
8,2017-04,3,2,2.0
9,2017-03,1,0,0.0
10,2017-01,1,-2,-0.666666666667
11,2016-12,3,-4,-0.571428571429
12,2016-11,7,4,1.33333333333
13,2016-10,3,1,0.5
14,2016-09,2,-2,-0.5
15,2016-08,4,2,1.0
16,2016-07,2,1,1.0
17,2016-06,1,-2,-0.666666666667
18,2016-05,3,1,0.5
19,2016-03,2,1,1.0
20,2016-01,1,-2,-0.666666666667
21,2015-11,3,1,0.5
22,2015-10,2,-2,-0.5
23,2015-09,4,2,1.0
24,2015-08,2,-1,-0.333333333333
25,2015-06,3,-4,-0.571428571429
26,2015-05,7,6,6.0
27,2015-04,1,-3,-0.75
28,2015-03,4,-6,-0.6
29,2015-02,10,9,9.0
30,2014-10,1,-1,-0.5
31,2014-08,2,1,1.0
32,2014-07,1,0,0.0
33,2014-06,1,0,0.0
34,2014-04,1,0,0.0
35,2014-03,1,0,0.0
36,2014-01,1,-1,-0.5
37,2013-09,2,-1,-0.333333333333
38,2013-08,3,2,2.0
39,2013-03,1,0,0.0
40,2013-02,1,0,0.0
41,2012-07,1,0,0.0
42,2012-04,1,0,0.0
43,2012-03,1,0,0.0
44,2012-02,1,-1,-0.5
45,2012-01,2,-1,-0.333333333333
46,2011-12,3,2,2.0
47,2011-10,1,-1,-0.5
48,2011-09,2,1,1.0
49,2011-08,1,-3,-0.75
50,2011-07,4,2,1.0
51,2011-06,2,0,0.0
52,2011-05,2,-1,-0.333333333333
53,2011-04,3,1,0.5
54,2011-03,2,-2,-0.5
55,2011-01,4,2,1.0
56,2010-12,2,-3,-0.6
57,2010-11,5,2,0.666666666667
58,2010-10,3,1,0.5
59,2010-09,2,1,1.0
60,2010-08,1,-28,-0.965517241379
61,2010-07,29,0,0.0
