,date,nums,increment,ratio
0,2018-01,5,4,4.0
1,2017-12,1,0,0.0
2,2017-09,1,-4,-0.8
3,2017-08,5,-7,-0.583333333333
4,2017-07,12,3,0.333333333333
5,2017-03,9,1,0.125
6,2017-02,8,-4,-0.333333333333
7,2016-12,12,7,1.4
8,2016-11,5,-3,-0.375
9,2016-09,8,7,7.0
10,2016-08,1,-5,-0.833333333333
11,2016-07,6,-3,-0.333333333333
12,2016-06,9,-1,-0.1
13,2016-05,10,-49,-0.830508474576
14,2016-04,59,50,5.55555555556
15,2016-03,9,-11,-0.55
16,2016-02,20,0,0.0
17,2016-01,20,15,3.0
18,2015-12,5,-7,-0.583333333333
19,2015-11,12,-6,-0.333333333333
20,2015-10,18,-7,-0.28
21,2015-09,25,22,7.33333333333
22,2015-08,3,-8,-0.727272727273
23,2015-07,11,-29,-0.725
24,2015-06,40,-5,-0.111111111111
25,2015-05,45,26,1.36842105263
26,2015-03,19,13,2.16666666667
27,2015-02,6,-35,-0.853658536585
28,2015-01,41,1,0.025
29,2014-12,40,32,4.0
30,2014-11,8,3,0.6
31,2014-10,5,-11,-0.6875
32,2014-09,16,11,2.2
33,2014-07,5,2,0.666666666667
34,2014-06,3,2,2.0
35,2014-05,1,-10,-0.909090909091
36,2014-04,11,8,2.66666666667
37,2014-03,3,-17,-0.85
38,2014-02,20,-59,-0.746835443038
39,2014-01,79,71,8.875
40,2013-12,8,-28,-0.777777777778
41,2013-11,36,-2,-0.0526315789474
42,2013-10,38,-6,-0.136363636364
43,2013-09,44,19,0.76
44,2013-08,25,-6,-0.193548387097
45,2013-07,31,28,9.33333333333
46,2013-06,3,-8,-0.727272727273
47,2013-05,11,-48,-0.813559322034
48,2013-04,59,56,18.6666666667
49,2013-03,3,-51,-0.944444444444
50,2013-02,54,-11,-0.169230769231
51,2013-01,65,-8,-0.109589041096
52,2012-12,73,29,0.659090909091
53,2012-11,44,-61,-0.580952380952
54,2012-10,105,83,3.77272727273
55,2012-09,22,-3,-0.12
56,2012-08,25,-17,-0.404761904762
57,2012-07,42,-86,-0.671875
58,2012-06,128,72,1.28571428571
59,2012-05,56,-22,-0.282051282051
60,2012-04,78,45,1.36363636364
61,2012-03,33,23,2.3
62,2012-02,10,5,1.0
63,2012-01,5,-37,-0.880952380952
64,2011-12,42,-37,-0.46835443038
65,2011-11,79,11,0.161764705882
66,2011-10,68,58,5.8
67,2011-09,10,-11,-0.52380952381
68,2011-08,21,20,20.0
69,2011-07,1,-11,-0.916666666667
70,2011-06,12,-49,-0.803278688525
71,2011-05,61,-20,-0.246913580247
72,2011-04,81,54,2.0
73,2011-03,27,-10,-0.27027027027
74,2011-02,37,-19,-0.339285714286
75,2011-01,56,-3,-0.0508474576271
76,2010-12,59,20,0.512820512821
77,2010-11,39,-103,-0.725352112676
78,2010-10,142,-4,-0.027397260274
79,2010-09,146,87,1.47457627119
80,2010-08,59,22,0.594594594595
81,2010-07,37,-7,-0.159090909091
82,2010-06,44,41,13.6666666667
83,2010-05,3,1,0.5
84,2010-04,2,-41,-0.953488372093
85,2010-03,43,-21,-0.328125
86,2010-02,64,-14,-0.179487179487
87,2010-01,78,-44,-0.360655737705
88,2009-12,122,103,5.42105263158
89,2009-11,19,2,0.117647058824
90,2009-10,17,0,0.0
