,date,nums,increment,ratio
0,2018-04,2,-4,-0.666666666667
1,2018-03,6,4,2.0
2,2018-02,2,-30,-0.9375
3,2018-01,32,29,9.66666666667
4,2017-12,3,0,0.0
5,2017-11,3,1,0.5
6,2017-10,2,-4,-0.666666666667
7,2017-09,6,0,0.0
8,2017-08,6,-11,-0.647058823529
9,2017-07,17,13,3.25
10,2017-06,4,1,0.333333333333
11,2017-05,3,-13,-0.8125
12,2017-04,16,-11,-0.407407407407
13,2017-03,27,25,12.5
14,2017-02,2,-7,-0.777777777778
15,2017-01,9,-2,-0.181818181818
16,2016-12,11,10,10.0
17,2016-11,1,-2,-0.666666666667
18,2016-10,3,-7,-0.7
19,2016-09,10,0,0.0
20,2016-08,10,-2,-0.166666666667
21,2016-07,12,1,0.0909090909091
22,2016-06,11,-8,-0.421052631579
23,2016-05,19,-15,-0.441176470588
24,2016-04,34,14,0.7
25,2016-03,20,3,0.176470588235
26,2016-02,17,-24,-0.585365853659
27,2016-01,41,37,9.25
28,2015-12,4,-20,-0.833333333333
29,2015-11,24,-20,-0.454545454545
30,2015-10,44,11,0.333333333333
31,2015-09,33,28,5.6
32,2015-08,5,-14,-0.736842105263
33,2015-07,19,-9,-0.321428571429
34,2015-06,28,-9,-0.243243243243
35,2015-05,37,26,2.36363636364
36,2015-04,11,-12,-0.521739130435
37,2015-03,23,7,0.4375
38,2015-02,16,-17,-0.515151515152
39,2015-01,33,-10,-0.232558139535
40,2014-12,43,33,3.3
41,2014-11,10,2,0.25
42,2014-10,8,-5,-0.384615384615
43,2014-09,13,2,0.181818181818
44,2014-07,11,-9,-0.45
45,2014-06,20,9,0.818181818182
46,2014-05,11,-24,-0.685714285714
47,2014-04,35,-8,-0.186046511628
48,2014-03,43,27,1.6875
49,2014-02,16,-11,-0.407407407407
50,2014-01,27,3,0.125
51,2013-12,24,-25,-0.510204081633
52,2013-11,49,17,0.53125
53,2013-10,32,-36,-0.529411764706
54,2013-09,68,29,0.74358974359
55,2013-08,39,15,0.625
56,2013-07,24,17,2.42857142857
57,2013-06,7,-33,-0.825
58,2013-05,40,-29,-0.420289855072
59,2013-04,69,42,1.55555555556
60,2013-03,27,-21,-0.4375
61,2013-02,48,-47,-0.494736842105
62,2013-01,95,-95,-0.5
63,2012-12,190,122,1.79411764706
64,2012-11,68,-60,-0.46875
65,2012-10,128,92,2.55555555556
66,2012-09,36,-33,-0.478260869565
67,2012-08,69,-49,-0.415254237288
68,2012-07,118,0,0.0
69,2012-06,118,33,0.388235294118
70,2012-05,85,15,0.214285714286
71,2012-04,70,39,1.25806451613
72,2012-03,31,16,1.06666666667
73,2012-02,15,-10,-0.4
74,2012-01,25,3,0.136363636364
75,2011-12,22,-59,-0.728395061728
76,2011-11,81,-2,-0.0240963855422
77,2011-10,83,-38,-0.314049586777
78,2011-09,121,57,0.890625
79,2011-08,64,42,1.90909090909
80,2011-07,22,-11,-0.333333333333
81,2011-06,33,-58,-0.637362637363
82,2011-05,91,-178,-0.661710037175
83,2011-04,269,193,2.53947368421
84,2011-03,76,-22,-0.224489795918
85,2011-02,98,-97,-0.497435897436
86,2011-01,195,54,0.382978723404
87,2010-12,141,92,1.87755102041
88,2010-11,49,-72,-0.595041322314
89,2010-10,121,-15,-0.110294117647
90,2010-09,136,117,6.15789473684
91,2010-08,19,8,0.727272727273
92,2010-07,11,-15,-0.576923076923
93,2010-06,26,25,25.0
94,2010-04,1,-37,-0.973684210526
95,2010-03,38,-23,-0.377049180328
96,2010-02,61,-58,-0.487394957983
97,2010-01,119,-61,-0.338888888889
98,2009-12,180,98,1.19512195122
99,2009-11,82,67,4.46666666667
100,2009-10,15,-43,-0.741379310345
101,2009-09,58,53,10.6
102,2009-08,5,-78,-0.939759036145
103,2009-07,83,75,9.375
104,2009-06,8,-25,-0.757575757576
105,2009-05,33,16,0.941176470588
106,2009-04,17,-6,-0.260869565217
107,2009-03,23,-52,-0.693333333333
108,2009-02,75,-37,-0.330357142857
109,2009-01,112,62,1.24
110,2008-12,50,41,4.55555555556
111,2008-11,9,-3,-0.25
112,2008-10,12,-1,-0.0769230769231
113,2008-08,13,-3,-0.1875
114,2008-07,16,-4,-0.2
115,2008-06,20,-66,-0.767441860465
116,2008-05,86,50,1.38888888889
117,2008-04,36,33,11.0
118,2008-03,3,-8,-0.727272727273
119,2008-02,11,-15,-0.576923076923
120,2008-01,26,-56,-0.682926829268
121,2007-12,82,51,1.64516129032
122,2007-11,31,15,0.9375
123,2007-10,16,-58,-0.783783783784
124,2007-09,74,28,0.608695652174
125,2007-08,46,-19,-0.292307692308
126,2007-07,65,41,1.70833333333
127,2007-06,24,-10,-0.294117647059
128,2007-05,34,7,0.259259259259
129,2007-04,27,-17,-0.386363636364
130,2007-03,44,-7,-0.137254901961
131,2007-02,51,-110,-0.683229813665
132,2007-01,161,98,1.55555555556
133,2006-12,63,11,0.211538461538
134,2006-11,52,-24,-0.315789473684
135,2006-10,76,9,0.134328358209
136,2006-09,67,-9,-0.118421052632
137,2006-08,76,19,0.333333333333
138,2006-07,57,-7,-0.109375
139,2006-06,64,47,2.76470588235
140,2006-05,17,9,1.125
141,2006-04,8,-7,-0.466666666667
142,2006-03,15,0,0.0
