,date,nums,increment,ratio
0,2018-04,288,-561,-0.660777385159
1,2018-03,849,501,1.43965517241
2,2018-02,348,94,0.370078740157
3,2018-01,254,51,0.251231527094
4,2017-12,203,-33,-0.139830508475
5,2017-11,236,-3,-0.0125523012552
6,2017-10,239,-104,-0.303206997085
7,2017-09,343,47,0.158783783784
8,2017-08,296,25,0.0922509225092
9,2017-07,271,50,0.226244343891
10,2017-06,221,3,0.0137614678899
11,2017-05,218,-9,-0.0396475770925
12,2017-04,227,-93,-0.290625
13,2017-03,320,86,0.367521367521
14,2017-02,234,49,0.264864864865
15,2017-01,185,11,0.0632183908046
16,2016-12,174,-93,-0.348314606742
17,2016-11,267,11,0.04296875
18,2016-10,256,42,0.196261682243
19,2016-09,214,2,0.00943396226415
20,2016-08,212,0,0.0
21,2016-07,212,4,0.0192307692308
22,2016-06,208,21,0.112299465241
23,2016-05,187,-10,-0.0507614213198
24,2016-04,197,-25,-0.112612612613
25,2016-03,222,82,0.585714285714
26,2016-02,140,-49,-0.259259259259
27,2016-01,189,16,0.0924855491329
28,2015-12,173,-58,-0.251082251082
29,2015-11,231,60,0.350877192982
30,2015-10,171,-9,-0.05
31,2015-09,180,-10,-0.0526315789474
32,2015-08,190,0,0.0
33,2015-07,190,42,0.283783783784
34,2015-06,148,-5,-0.0326797385621
35,2015-05,153,-4,-0.0254777070064
36,2015-04,157,-21,-0.11797752809
37,2015-03,178,65,0.575221238938
38,2015-02,113,-41,-0.266233766234
39,2015-01,154,12,0.0845070422535
40,2014-12,142,18,0.145161290323
41,2014-11,124,-17,-0.120567375887
42,2014-10,141,28,0.247787610619
43,2014-09,113,-4,-0.034188034188
44,2014-08,117,-35,-0.230263157895
45,2014-07,152,28,0.225806451613
46,2014-06,124,-2,-0.015873015873
47,2014-05,126,2,0.0161290322581
48,2014-04,124,-127,-0.505976095618
49,2014-03,251,48,0.23645320197
50,2014-02,203,-9,-0.0424528301887
51,2014-01,212,5,0.024154589372
52,2013-12,207,-6,-0.0281690140845
53,2013-11,213,-15,-0.0657894736842
54,2013-10,228,-19,-0.0769230769231
55,2013-09,247,46,0.228855721393
56,2013-08,201,28,0.161849710983
57,2013-07,173,19,0.123376623377
58,2013-06,154,-19,-0.109826589595
59,2013-05,173,4,0.0236686390533
60,2013-04,169,-59,-0.258771929825
61,2013-03,228,63,0.381818181818
62,2013-02,165,-27,-0.140625
63,2013-01,192,88,0.846153846154
64,2012-12,104,-18,-0.147540983607
65,2012-11,122,7,0.0608695652174
66,2012-10,115,3,0.0267857142857
67,2012-09,112,0,0.0
68,2012-08,112,12,0.12
69,2012-07,100,16,0.190476190476
70,2012-06,84,10,0.135135135135
71,2012-05,74,17,0.298245614035
72,2012-04,57,-1,-0.0172413793103
73,2012-03,58,4,0.0740740740741
74,2012-02,54,4,0.08
75,2012-01,50,-6,-0.107142857143
76,2011-12,56,1,0.0181818181818
77,2011-11,55,3,0.0576923076923
78,2011-10,52,8,0.181818181818
79,2011-09,44,4,0.1
80,2011-08,40,-1,-0.0243902439024
81,2011-07,41,15,0.576923076923
82,2011-06,26,0,0.0
83,2011-05,26,-12,-0.315789473684
84,2011-04,38,14,0.583333333333
85,2011-03,24,-9,-0.272727272727
86,2011-02,33,-4,-0.108108108108
87,2011-01,37,13,0.541666666667
88,2010-12,24,-8,-0.25
89,2010-11,32,3,0.103448275862
90,2010-10,29,8,0.380952380952
91,2010-09,21,12,1.33333333333
92,2010-08,9,-16,-0.64
93,2010-07,25,17,2.125
94,2010-06,8,-5,-0.384615384615
95,2010-05,13,-1,-0.0714285714286
96,2010-04,14,-3,-0.176470588235
97,2010-03,17,6,0.545454545455
98,2010-02,11,-15,-0.576923076923
99,2010-01,26,15,1.36363636364
100,2009-12,11,-3,-0.214285714286
101,2009-11,14,3,0.272727272727
102,2009-10,11,0,0.0
