,date,nums,increment,ratio
0,2018-05,2,-31,-0.939393939394
1,2018-04,33,-7,-0.175
2,2018-03,40,8,0.25
3,2018-02,32,-11,-0.255813953488
4,2018-01,43,-3,-0.0652173913043
5,2017-12,46,11,0.314285714286
6,2017-11,35,6,0.206896551724
7,2017-10,29,0,0.0
8,2017-09,29,-1,-0.0333333333333
9,2017-08,30,-7,-0.189189189189
10,2017-07,37,14,0.608695652174
11,2017-06,23,-8,-0.258064516129
12,2017-05,31,-21,-0.403846153846
13,2017-04,52,8,0.181818181818
14,2017-03,44,14,0.466666666667
15,2017-02,30,-13,-0.302325581395
16,2017-01,43,-20,-0.31746031746
17,2016-12,63,29,0.852941176471
18,2016-11,34,-6,-0.15
19,2016-10,40,8,0.25
20,2016-09,32,-17,-0.34693877551
21,2016-08,49,7,0.166666666667
22,2016-07,42,-33,-0.44
23,2016-06,75,35,0.875
24,2016-05,40,-22,-0.354838709677
25,2016-04,62,-1,-0.015873015873
26,2016-03,63,-9,-0.125
27,2016-02,72,-21,-0.225806451613
28,2016-01,93,47,1.02173913043
29,2015-12,46,-21,-0.313432835821
30,2015-11,67,7,0.116666666667
31,2015-10,60,0,0.0
32,2015-09,60,13,0.276595744681
33,2015-08,47,-26,-0.356164383562
34,2015-07,73,0,0.0
35,2015-06,73,-41,-0.359649122807
36,2015-05,114,48,0.727272727273
37,2015-04,66,-6,-0.0833333333333
38,2015-03,72,9,0.142857142857
39,2015-02,63,-5,-0.0735294117647
40,2015-01,68,-23,-0.252747252747
41,2014-12,91,28,0.444444444444
42,2014-11,63,-94,-0.59872611465
43,2014-10,157,132,5.28
44,2014-09,25,15,1.5
45,2014-08,10,-13,-0.565217391304
46,2014-07,23,3,0.15
47,2014-06,20,-1,-0.047619047619
48,2014-05,21,5,0.3125
49,2014-04,16,-11,-0.407407407407
50,2014-03,27,8,0.421052631579
51,2014-02,19,-14,-0.424242424242
52,2014-01,33,11,0.5
53,2013-12,22,-10,-0.3125
54,2013-11,32,4,0.142857142857
55,2013-10,28,-10,-0.263157894737
56,2013-09,38,10,0.357142857143
57,2013-08,28,9,0.473684210526
58,2013-07,19,1,0.0555555555556
59,2013-06,18,-6,-0.25
60,2013-05,24,-20,-0.454545454545
61,2013-04,44,15,0.51724137931
62,2013-03,29,-4,-0.121212121212
63,2013-02,33,-13,-0.282608695652
64,2013-01,46,-12,-0.206896551724
65,2012-12,58,21,0.567567567568
66,2012-11,37,-33,-0.471428571429
67,2012-10,70,45,1.8
68,2012-09,25,-12,-0.324324324324
69,2012-08,37,2,0.0571428571429
70,2012-07,35,-5,-0.125
71,2012-06,40,-7,-0.148936170213
72,2012-05,47,10,0.27027027027
73,2012-04,37,13,0.541666666667
74,2012-03,24,-3,-0.111111111111
75,2012-02,27,6,0.285714285714
76,2012-01,21,-10,-0.322580645161
77,2011-12,31,-18,-0.367346938776
78,2011-11,49,4,0.0888888888889
79,2011-10,45,0,0.0
80,2011-09,45,15,0.5
81,2011-08,30,8,0.363636363636
82,2011-07,22,-4,-0.153846153846
83,2011-06,26,-10,-0.277777777778
84,2011-05,36,-35,-0.492957746479
85,2011-04,71,32,0.820512820513
86,2011-03,39,1,0.0263157894737
87,2011-02,38,-20,-0.344827586207
88,2011-01,58,15,0.348837209302
89,2010-12,43,8,0.228571428571
90,2010-11,35,-12,-0.255319148936
91,2010-10,47,16,0.516129032258
92,2010-09,31,0,0.0
