,date,nums,increment,ratio
0,2016-10,441,-83,-0.158396946565
1,2016-09,524,-9,-0.0168855534709
2,2016-08,533,-52,-0.0888888888889
3,2016-07,585,-8,-0.0134907251265
4,2016-06,593,100,0.202839756592
5,2016-05,493,-18,-0.0352250489237
6,2016-04,511,-62,-0.108202443281
7,2016-03,573,137,0.314220183486
8,2016-02,436,-118,-0.212996389892
9,2016-01,554,95,0.20697167756
10,2015-12,459,-25,-0.051652892562
11,2015-11,484,43,0.0975056689342
12,2015-10,441,33,0.0808823529412
13,2015-09,408,-17,-0.04
14,2015-08,425,-24,-0.0534521158129
15,2015-07,449,41,0.100490196078
16,2015-06,408,-15,-0.0354609929078
17,2015-05,423,21,0.0522388059701
18,2015-04,402,-67,-0.142857142857
19,2015-03,469,134,0.4
20,2015-02,335,2,0.00600600600601
21,2015-01,333,-27,-0.075
22,2014-12,360,-50,-0.121951219512
23,2014-11,410,-22,-0.0509259259259
24,2014-10,432,55,0.145888594164
25,2014-09,377,42,0.125373134328
26,2014-08,335,-3,-0.00887573964497
27,2014-07,338,16,0.0496894409938
28,2014-06,322,6,0.0189873417722
29,2014-05,316,24,0.0821917808219
30,2014-04,292,-405,-0.58106169297
31,2014-03,697,-254,-0.267087276551
32,2014-02,951,-48,-0.048048048048
33,2014-01,999,121,0.137813211845
34,2013-12,878,-113,-0.114026236125
35,2013-11,991,-156,-0.136006974717
36,2013-10,1147,44,0.0398912058024
37,2013-09,1103,199,0.220132743363
38,2013-08,904,435,0.92750533049
39,2013-07,469,27,0.0610859728507
40,2013-06,442,-31,-0.0655391120507
41,2013-05,473,-121,-0.203703703704
42,2013-04,594,17,0.0294627383016
43,2013-03,577,208,0.563685636856
44,2013-02,369,258,2.32432432432
45,2013-01,111,26,0.305882352941
46,2012-12,85,-25,-0.227272727273
47,2012-11,110,-17,-0.133858267717
48,2012-10,127,-9,-0.0661764705882
49,2012-09,136,-64,-0.32
50,2012-08,200,-145,-0.420289855072
51,2012-07,345,26,0.0815047021944
52,2012-06,319,-23,-0.0672514619883
53,2012-05,342,18,0.0555555555556
54,2012-04,324,-47,-0.126684636119
55,2012-03,371,-37,-0.0906862745098
56,2012-02,408,12,0.030303030303
57,2012-01,396,58,0.171597633136
58,2011-12,338,-23,-0.0637119113573
59,2011-11,361,43,0.135220125786
60,2011-10,318,-110,-0.257009345794
61,2011-09,428,3,0.00705882352941
62,2011-08,425,49,0.130319148936
63,2011-07,376,-54,-0.125581395349
64,2011-06,430,18,0.0436893203883
65,2011-05,412,-42,-0.0925110132159
66,2011-04,454,-55,-0.108055009823
67,2011-03,509,84,0.197647058824
68,2011-02,425,-5,-0.0116279069767
69,2011-01,430,78,0.221590909091
70,2010-12,352,-69,-0.163895486936
71,2010-11,421,-6,-0.0140515222482
72,2010-10,427,0,0.0
73,2010-09,427,28,0.0701754385965
74,2010-08,399,56,0.163265306122
75,2010-07,343,-32,-0.0853333333333
76,2010-06,375,-35,-0.0853658536585
77,2010-05,410,46,0.126373626374
78,2010-04,364,46,0.14465408805
79,2010-03,318,4,0.0127388535032
80,2010-02,314,0,0.0
81,2010-01,314,97,0.447004608295
82,2009-12,217,-16,-0.068669527897
83,2009-11,233,4,0.0174672489083
84,2009-10,229,22,0.106280193237
85,2009-09,207,35,0.203488372093
86,2009-08,172,21,0.139072847682
87,2009-07,151,6,0.0413793103448
88,2009-06,145,-20,-0.121212121212
89,2009-05,165,-1617,-0.907407407407
90,2009-04,1782,0,0.0
