,date,nums,increment,ratio
0,2018-04,1,-1,-0.5
1,2018-03,2,-13,-0.866666666667
2,2018-02,15,13,6.5
3,2017-12,2,-1,-0.333333333333
4,2017-10,3,-1,-0.25
5,2017-08,4,3,3.0
6,2017-07,1,-3,-0.75
7,2017-06,4,-8,-0.666666666667
8,2017-05,12,10,5.0
9,2017-04,2,-1,-0.333333333333
10,2017-03,3,-4,-0.571428571429
11,2017-02,7,-7,-0.5
12,2017-01,14,8,1.33333333333
13,2016-12,6,-6,-0.5
14,2016-11,12,6,1.0
15,2016-10,6,0,0.0
16,2016-09,6,0,0.0
17,2016-07,6,-1,-0.142857142857
18,2016-06,7,-10,-0.588235294118
19,2016-05,17,11,1.83333333333
20,2016-04,6,-3,-0.333333333333
21,2016-03,9,8,8.0
22,2016-02,1,-1,-0.5
23,2015-10,2,1,1.0
24,2015-09,1,-2,-0.666666666667
25,2015-08,3,-4,-0.571428571429
26,2015-07,7,-6,-0.461538461538
27,2015-06,13,9,2.25
28,2015-05,4,-6,-0.6
29,2015-04,10,1,0.111111111111
30,2015-03,9,1,0.125
31,2015-01,8,-25,-0.757575757576
32,2014-12,33,7,0.269230769231
33,2014-11,26,15,1.36363636364
34,2014-10,11,-20,-0.645161290323
35,2014-09,31,25,4.16666666667
36,2014-08,6,-22,-0.785714285714
37,2014-07,28,6,0.272727272727
38,2014-06,22,-7,-0.241379310345
39,2014-05,29,8,0.380952380952
40,2014-04,21,4,0.235294117647
41,2014-03,17,-31,-0.645833333333
42,2014-02,48,29,1.52631578947
43,2014-01,19,0,0.0
44,2013-12,19,3,0.1875
45,2013-11,16,-46,-0.741935483871
46,2013-10,62,50,4.16666666667
47,2013-09,12,-7,-0.368421052632
48,2013-08,19,9,0.9
49,2013-07,10,-2,-0.166666666667
50,2013-06,12,-7,-0.368421052632
51,2013-05,19,0,0.0
52,2013-04,19,-22,-0.536585365854
53,2013-03,41,20,0.952380952381
54,2013-02,21,-50,-0.704225352113
55,2013-01,71,25,0.54347826087
56,2012-12,46,-15,-0.245901639344
57,2012-11,61,31,1.03333333333
58,2012-10,30,-11,-0.268292682927
59,2012-09,41,6,0.171428571429
60,2012-08,35,13,0.590909090909
61,2012-07,22,2,0.1
62,2012-06,20,-18,-0.473684210526
63,2012-05,38,-11,-0.224489795918
64,2012-04,49,35,2.5
65,2012-03,14,2,0.166666666667
66,2012-02,12,1,0.0909090909091
67,2012-01,11,10,10.0
68,2011-12,1,-1,-0.5
69,2011-11,2,-8,-0.8
