,date,nums,increment,ratio
0,2018,18,-34,-0.653846153846
1,2017,52,-24,-0.315789473684
2,2016,76,19,0.333333333333
3,2015,57,-234,-0.80412371134
4,2014,291,-30,-0.0934579439252
5,2013,321,-58,-0.153034300792
6,2012,379,179,0.895
7,2011,200,133,1.98507462687
8,2010,67,-216,-0.763250883392
9,2009,283,176,1.64485981308
10,2008,107,-52,-0.327044025157
11,2007,159,112,2.3829787234
12,2006,47,13,0.382352941176
13,2004,34,24,2.4
14,2003,10,-62,-0.861111111111
15,2002,72,36,1.0
16,2001,36,30,5.0
17,2000,6,0,0.0
