,date,nums,increment,ratio
0,2018-04,4,-1,-0.2
1,2018-03,5,-10,-0.666666666667
2,2018-02,15,14,14.0
3,2018-01,1,-1,-0.5
4,2017-12,2,-1,-0.333333333333
5,2017-11,3,-1,-0.25
6,2017-10,4,0,0.0
7,2017-09,4,-1,-0.2
8,2017-08,5,2,0.666666666667
9,2017-07,3,-9,-0.75
10,2017-06,12,-5,-0.294117647059
11,2017-05,17,8,0.888888888889
12,2017-04,9,-2,-0.181818181818
13,2017-03,11,2,0.222222222222
14,2017-02,9,-4,-0.307692307692
15,2017-01,13,9,2.25
16,2016-12,4,-13,-0.764705882353
17,2016-11,17,3,0.214285714286
18,2016-10,14,4,0.4
19,2016-09,10,6,1.5
20,2016-08,4,-12,-0.75
21,2016-07,16,-4,-0.2
22,2016-06,20,-8,-0.285714285714
23,2016-05,28,14,1.0
24,2016-04,14,-9,-0.391304347826
25,2016-03,23,11,0.916666666667
26,2016-02,12,7,1.4
27,2016-01,5,-2,-0.285714285714
28,2015-12,7,-2,-0.222222222222
29,2015-11,9,-2,-0.181818181818
30,2015-10,11,3,0.375
31,2015-09,8,-3,-0.272727272727
32,2015-08,11,-6,-0.352941176471
33,2015-07,17,0,0.0
34,2015-06,17,0,0.0
35,2015-05,17,-10,-0.37037037037
36,2015-04,27,5,0.227272727273
37,2015-03,22,14,1.75
38,2015-02,8,-12,-0.6
39,2015-01,20,-3,-0.130434782609
40,2014-12,23,2,0.0952380952381
41,2014-11,21,8,0.615384615385
42,2014-10,13,-9,-0.409090909091
43,2014-09,22,12,1.2
44,2014-08,10,-12,-0.545454545455
45,2014-07,22,-1,-0.0434782608696
46,2014-06,23,-8,-0.258064516129
47,2014-05,31,-3,-0.0882352941176
48,2014-04,34,9,0.36
49,2014-03,25,-1,-0.0384615384615
50,2014-02,26,11,0.733333333333
51,2014-01,15,-1,-0.0625
52,2013-12,16,-2,-0.111111111111
53,2013-11,18,2,0.125
54,2013-10,16,1,0.0666666666667
55,2013-09,15,-1,-0.0625
56,2013-08,16,4,0.333333333333
57,2013-07,12,-1,-0.0769230769231
58,2013-06,13,-5,-0.277777777778
59,2013-05,18,7,0.636363636364
60,2013-04,11,-1,-0.0833333333333
61,2013-03,12,-10,-0.454545454545
62,2013-02,22,-16,-0.421052631579
63,2013-01,38,12,0.461538461538
64,2012-12,26,1,0.04
65,2012-11,25,10,0.666666666667
66,2012-10,15,-10,-0.4
67,2012-09,25,3,0.136363636364
68,2012-08,22,10,0.833333333333
69,2012-07,12,-1,-0.0769230769231
70,2012-06,13,-5,-0.277777777778
71,2012-05,18,0,0.0
72,2012-04,18,2,0.125
73,2012-03,16,0,0.0
74,2012-02,16,8,1.0
75,2012-01,8,5,1.66666666667
76,2011-12,3,-5,-0.625
77,2011-11,8,-18,-0.692307692308
78,2011-10,26,-9,-0.257142857143
79,2011-09,35,14,0.666666666667
80,2011-08,21,-4,-0.16
81,2011-07,25,14,1.27272727273
82,2011-06,11,-3,-0.214285714286
83,2011-05,14,0,0.0
84,2011-04,14,-1,-0.0666666666667
85,2011-03,15,6,0.666666666667
86,2011-02,9,-2,-0.181818181818
87,2011-01,11,2,0.222222222222
88,2010-12,9,-11,-0.55
89,2010-11,20,16,4.0
90,2010-10,4,-1,-0.2
91,2010-09,5,-6,-0.545454545455
92,2010-08,11,-3,-0.214285714286
93,2010-07,14,8,1.33333333333
94,2010-06,6,-1,-0.142857142857
95,2010-05,7,3,0.75
96,2010-04,4,-5,-0.555555555556
97,2010-03,9,-2,-0.181818181818
98,2010-02,11,6,1.2
99,2010-01,5,-9,-0.642857142857
100,2009-12,14,-1,-0.0666666666667
101,2009-11,15,4,0.363636363636
102,2009-10,11,8,2.66666666667
103,2009-09,3,-2,-0.4
104,2009-08,5,-4,-0.444444444444
105,2009-07,9,3,0.5
106,2009-06,6,-1,-0.142857142857
107,2009-05,7,0,0.0
