,date,nums,increment,ratio
0,2018-04,3,1,0.5
1,2018-03,2,-8,-0.8
2,2018-02,10,9,9.0
3,2017-12,1,0,0.0
4,2017-11,1,-2,-0.666666666667
5,2017-10,3,2,2.0
6,2017-09,1,-2,-0.666666666667
7,2017-08,3,-2,-0.4
8,2017-06,5,-6,-0.545454545455
9,2017-05,11,5,0.833333333333
10,2017-04,6,3,1.0
11,2017-03,3,-3,-0.5
12,2017-02,6,-4,-0.4
13,2017-01,10,6,1.5
14,2016-12,4,-11,-0.733333333333
15,2016-11,15,7,0.875
16,2016-10,8,6,3.0
17,2016-09,2,-1,-0.333333333333
18,2016-08,3,-8,-0.727272727273
19,2016-07,11,5,0.833333333333
20,2016-06,6,-13,-0.684210526316
21,2016-05,19,9,0.9
22,2016-04,10,-3,-0.230769230769
23,2016-03,13,9,2.25
24,2016-02,4,3,3.0
25,2016-01,1,-2,-0.666666666667
26,2015-12,3,0,0.0
27,2015-11,3,-3,-0.5
28,2015-10,6,0,0.0
29,2015-09,6,0,0.0
30,2015-08,6,-4,-0.4
31,2015-07,10,1,0.111111111111
32,2015-06,9,-2,-0.181818181818
33,2015-05,11,-7,-0.388888888889
34,2015-04,18,7,0.636363636364
35,2015-03,11,6,1.2
36,2015-02,5,-5,-0.5
37,2015-01,10,-6,-0.375
38,2014-12,16,2,0.142857142857
39,2014-11,14,5,0.555555555556
40,2014-10,9,-7,-0.4375
41,2014-09,16,10,1.66666666667
42,2014-08,6,-7,-0.538461538462
43,2014-07,13,-3,-0.1875
44,2014-06,16,-9,-0.36
45,2014-05,25,6,0.315789473684
46,2014-04,19,5,0.357142857143
47,2014-03,14,-6,-0.3
48,2014-02,20,11,1.22222222222
49,2014-01,9,0,0.0
50,2013-12,9,-6,-0.4
51,2013-11,15,4,0.363636363636
52,2013-10,11,1,0.1
53,2013-09,10,3,0.428571428571
54,2013-08,7,1,0.166666666667
55,2013-07,6,1,0.2
56,2013-06,5,-3,-0.375
57,2013-05,8,1,0.142857142857
58,2013-04,7,-1,-0.125
59,2013-03,8,-5,-0.384615384615
60,2013-02,13,-12,-0.48
61,2013-01,25,4,0.190476190476
62,2012-12,21,7,0.5
63,2012-11,14,4,0.4
64,2012-10,10,-5,-0.333333333333
65,2012-09,15,3,0.25
66,2012-08,12,6,1.0
67,2012-07,6,-4,-0.4
68,2012-06,10,-2,-0.166666666667
69,2012-05,12,-1,-0.0769230769231
70,2012-04,13,6,0.857142857143
71,2012-03,7,2,0.4
72,2012-02,5,-1,-0.166666666667
73,2012-01,6,5,5.0
74,2011-12,1,-3,-0.75
75,2011-11,4,-9,-0.692307692308
76,2011-10,13,-10,-0.434782608696
77,2011-09,23,13,1.3
78,2011-08,10,-4,-0.285714285714
79,2011-07,14,9,1.8
80,2011-06,5,-2,-0.285714285714
81,2011-05,7,2,0.4
82,2011-04,5,1,0.25
83,2011-03,4,-2,-0.333333333333
84,2011-02,6,3,1.0
85,2011-01,3,-1,-0.25
86,2010-12,4,-1,-0.2
87,2010-11,5,4,4.0
88,2010-10,1,0,0.0
89,2010-09,1,0,0.0
90,2010-08,1,0,0.0
