,date,nums,increment,ratio
0,2018-03,1,0,0.0
1,2017-06,1,-1,-0.5
2,2017-04,2,0,0.0
3,2016-12,2,1,1.0
4,2016-05,1,-1,-0.5
5,2015-11,2,1,1.0
6,2015-10,1,-7,-0.875
7,2015-08,8,-1,-0.111111111111
8,2015-07,9,-4,-0.307692307692
9,2015-06,13,3,0.3
10,2015-05,10,5,1.0
11,2015-03,5,3,1.5
12,2015-02,2,1,1.0
13,2015-01,1,0,0.0
14,2014-12,1,-5,-0.833333333333
15,2014-11,6,0,0.0
16,2014-10,6,2,0.5
17,2014-09,4,1,0.333333333333
18,2014-07,3,1,0.5
19,2014-06,2,-3,-0.6
20,2014-05,5,3,1.5
21,2014-04,2,0,0.0
22,2014-03,2,1,1.0
23,2013-12,1,-2,-0.666666666667
24,2013-11,3,-2,-0.4
25,2013-10,5,3,1.5
26,2013-09,2,-2,-0.5
27,2013-08,4,-4,-0.5
28,2013-07,8,7,7.0
29,2013-06,1,-1,-0.5
30,2013-05,2,0,0.0
31,2013-04,2,-2,-0.5
32,2013-03,4,3,3.0
33,2013-02,1,-5,-0.833333333333
34,2012-11,6,1,0.2
35,2012-09,5,1,0.25
36,2012-08,4,2,1.0
37,2012-06,2,1,1.0
38,2012-04,1,-1,-0.5
39,2012-03,2,1,1.0
40,2011-12,1,0,0.0
41,2011-11,1,-1,-0.5
42,2011-10,2,1,1.0
43,2011-09,1,0,0.0
