,date,nums,increment,ratio
0,2018-04,25,-1,-0.0384615384615
1,2018-03,26,10,0.625
2,2018-02,16,-1,-0.0588235294118
3,2018-01,17,-2,-0.105263157895
4,2017-12,19,-10,-0.344827586207
5,2017-11,29,-2,-0.0645161290323
6,2017-10,31,10,0.47619047619
7,2017-09,21,5,0.3125
8,2017-08,16,-8,-0.333333333333
9,2017-07,24,1,0.0434782608696
10,2017-06,23,6,0.352941176471
11,2017-05,17,-18,-0.514285714286
12,2017-04,35,5,0.166666666667
13,2017-03,30,2,0.0714285714286
14,2017-02,28,-1,-0.0344827586207
15,2017-01,29,17,1.41666666667
16,2016-12,12,-13,-0.52
17,2016-11,25,-2,-0.0740740740741
18,2016-10,27,-2,-0.0689655172414
19,2016-09,29,3,0.115384615385
20,2016-08,26,12,0.857142857143
21,2016-07,14,4,0.4
22,2016-06,10,-1,-0.0909090909091
23,2016-05,11,-3,-0.214285714286
24,2016-04,14,1,0.0769230769231
25,2016-03,13,-9,-0.409090909091
26,2016-02,22,10,0.833333333333
27,2016-01,12,-7,-0.368421052632
28,2015-12,19,-5,-0.208333333333
29,2015-11,24,4,0.2
30,2015-10,20,-18,-0.473684210526
31,2015-09,38,0,0.0
32,2015-08,38,-13,-0.254901960784
33,2015-07,51,23,0.821428571429
34,2015-06,28,10,0.555555555556
35,2015-05,18,-21,-0.538461538462
36,2015-04,39,3,0.0833333333333
37,2015-03,36,-1,-0.027027027027
38,2015-02,37,-11,-0.229166666667
39,2015-01,48,11,0.297297297297
40,2014-12,37,-4,-0.0975609756098
41,2014-11,41,-6,-0.127659574468
42,2014-10,47,-5,-0.0961538461538
43,2014-09,52,24,0.857142857143
44,2014-08,28,-12,-0.3
45,2014-07,40,8,0.25
46,2014-06,32,-11,-0.255813953488
47,2014-05,43,10,0.30303030303
48,2014-04,33,-2,-0.0571428571429
49,2014-03,35,3,0.09375
50,2014-02,32,1,0.0322580645161
51,2014-01,31,5,0.192307692308
52,2013-12,26,-7,-0.212121212121
53,2013-11,33,-24,-0.421052631579
54,2013-10,57,3,0.0555555555556
55,2013-09,54,-19,-0.260273972603
56,2013-08,73,26,0.553191489362
57,2013-07,47,-23,-0.328571428571
58,2013-06,70,21,0.428571428571
59,2013-05,49,-25,-0.337837837838
60,2013-04,74,-81,-0.522580645161
61,2013-03,155,98,1.71929824561
62,2013-02,57,31,1.19230769231
63,2013-01,26,-49,-0.653333333333
64,2012-12,75,9,0.136363636364
65,2012-11,66,15,0.294117647059
66,2012-10,51,-9,-0.15
67,2012-09,60,29,0.935483870968
68,2012-08,31,3,0.107142857143
69,2012-07,28,-21,-0.428571428571
70,2012-06,49,-44,-0.47311827957
71,2012-05,93,-28,-0.231404958678
72,2012-04,121,63,1.08620689655
73,2012-03,58,44,3.14285714286
74,2012-02,14,-41,-0.745454545455
75,2012-01,55,0,0.0
76,2011-12,55,10,0.222222222222
77,2011-11,45,1,0.0227272727273
78,2011-10,44,0,0.0
79,2011-09,44,4,0.1
80,2011-08,40,9,0.290322580645
81,2011-07,31,-4,-0.114285714286
82,2011-06,35,-9,-0.204545454545
83,2011-05,44,-32,-0.421052631579
84,2011-04,76,48,1.71428571429
85,2011-03,28,2,0.0769230769231
86,2011-02,26,-1,-0.037037037037
87,2011-01,27,0,0.0
88,2010-12,27,15,1.25
89,2010-11,12,-16,-0.571428571429
90,2010-10,28,14,1.0
91,2010-09,14,0,0.0
