,date,nums,increment,ratio
0,2018-04,8,-7,-0.466666666667
1,2018-03,15,6,0.666666666667
2,2018-02,9,-6,-0.4
3,2018-01,15,8,1.14285714286
4,2017-12,7,1,0.166666666667
5,2017-11,6,-6,-0.5
6,2017-10,12,-4,-0.25
7,2017-09,16,2,0.142857142857
8,2017-08,14,2,0.166666666667
9,2017-07,12,-5,-0.294117647059
10,2017-06,17,7,0.7
11,2017-05,10,-5,-0.333333333333
12,2017-04,15,0,0.0
13,2017-03,15,8,1.14285714286
14,2017-02,7,2,0.4
15,2017-01,5,-4,-0.444444444444
16,2016-12,9,-3,-0.25
17,2016-11,12,-1,-0.0769230769231
18,2016-10,13,-2,-0.133333333333
19,2016-09,15,6,0.666666666667
20,2016-08,9,-1,-0.1
21,2016-07,10,0,0.0
22,2016-06,10,-7,-0.411764705882
23,2016-05,17,1,0.0625
24,2016-04,16,3,0.230769230769
25,2016-03,13,2,0.181818181818
26,2016-02,11,4,0.571428571429
27,2016-01,7,3,0.75
28,2015-12,4,-12,-0.75
29,2015-11,16,-1,-0.0588235294118
30,2015-10,17,8,0.888888888889
31,2015-09,9,-1,-0.1
32,2015-08,10,-3,-0.230769230769
33,2015-07,13,2,0.181818181818
34,2015-06,11,1,0.1
35,2015-05,10,-2,-0.166666666667
36,2015-04,12,-4,-0.25
37,2015-03,16,6,0.6
38,2015-02,10,5,1.0
39,2015-01,5,-3,-0.375
40,2014-12,8,-6,-0.428571428571
41,2014-11,14,3,0.272727272727
42,2014-10,11,2,0.222222222222
43,2014-09,9,-10,-0.526315789474
44,2014-08,19,8,0.727272727273
45,2014-07,11,1,0.1
46,2014-06,10,-1,-0.0909090909091
47,2014-05,11,-2,-0.153846153846
48,2014-04,13,5,0.625
49,2014-03,8,-6,-0.428571428571
50,2014-02,14,5,0.555555555556
51,2014-01,9,3,0.5
52,2013-12,6,-5,-0.454545454545
53,2013-11,11,1,0.1
54,2013-10,10,-1,-0.0909090909091
55,2013-09,11,0,0.0
56,2013-08,11,2,0.222222222222
57,2013-07,9,0,0.0
58,2013-06,9,2,0.285714285714
59,2013-05,7,-5,-0.416666666667
60,2013-04,12,-2,-0.142857142857
61,2013-03,14,6,0.75
62,2013-02,8,3,0.6
63,2013-01,5,-5,-0.5
64,2012-12,10,6,1.5
65,2012-11,4,0,0.0
66,2012-10,4,-6,-0.6
67,2012-09,10,0,0.0
68,2012-08,10,8,4.0
69,2012-07,2,-9,-0.818181818182
70,2012-06,11,4,0.571428571429
71,2012-05,7,4,1.33333333333
72,2012-04,3,-4,-0.571428571429
73,2012-03,7,2,0.4
74,2012-02,5,-3,-0.375
75,2012-01,8,3,0.6
76,2011-12,5,1,0.25
77,2011-11,4,1,0.333333333333
78,2011-10,3,0,0.0
79,2011-09,3,0,0.0
80,2011-08,3,0,0.0
81,2011-07,3,-3,-0.5
82,2011-06,6,5,5.0
83,2011-05,1,-1,-0.5
84,2011-04,2,-1,-0.333333333333
85,2011-02,3,1,0.5
86,2011-01,2,-2,-0.5
87,2010-12,4,0,0.0
