,date,nums,increment,ratio
0,2018-05,2,-37,-0.948717948718
1,2018-04,39,16,0.695652173913
2,2018-03,23,1,0.0454545454545
3,2018-02,22,3,0.157894736842
4,2018-01,19,-1,-0.05
5,2017-12,20,-16,-0.444444444444
6,2017-11,36,-9,-0.2
7,2017-10,45,5,0.125
8,2017-09,40,7,0.212121212121
9,2017-08,33,-4,-0.108108108108
10,2017-07,37,4,0.121212121212
11,2017-06,33,8,0.32
12,2017-05,25,-19,-0.431818181818
13,2017-04,44,16,0.571428571429
14,2017-03,28,-1,-0.0344827586207
15,2017-02,29,5,0.208333333333
16,2017-01,24,3,0.142857142857
17,2016-12,21,-13,-0.382352941176
18,2016-11,34,-4,-0.105263157895
19,2016-10,38,-18,-0.321428571429
20,2016-09,56,6,0.12
21,2016-08,50,27,1.17391304348
22,2016-07,23,9,0.642857142857
23,2016-06,14,1,0.0769230769231
24,2016-05,13,-9,-0.409090909091
25,2016-04,22,-4,-0.153846153846
26,2016-03,26,0,0.0
27,2016-02,26,10,0.625
28,2016-01,16,-5,-0.238095238095
29,2015-12,21,-8,-0.275862068966
30,2015-11,29,16,1.23076923077
31,2015-10,13,-1,-0.0714285714286
32,2015-09,14,3,0.272727272727
33,2015-08,11,-6,-0.352941176471
34,2015-07,17,4,0.307692307692
35,2015-06,13,10,3.33333333333
36,2015-05,3,-3,-0.5
37,2015-04,6,-3,-0.333333333333
38,2015-03,9,7,3.5
39,2015-02,2,-1,-0.333333333333
40,2015-01,3,-4,-0.571428571429
41,2014-12,7,-1,-0.125
42,2014-11,8,1,0.142857142857
43,2014-10,7,4,1.33333333333
44,2014-09,3,1,0.5
45,2014-08,2,0,0.0
46,2014-06,2,-1,-0.333333333333
47,2014-05,3,-3,-0.5
48,2014-04,6,5,5.0
49,2014-03,1,-4,-0.8
50,2014-02,5,2,0.666666666667
51,2014-01,3,1,0.5
52,2013-12,2,0,0.0
53,2013-11,2,-1,-0.333333333333
54,2013-10,3,1,0.5
55,2013-09,2,-1,-0.333333333333
56,2013-08,3,-1,-0.25
57,2013-07,4,1,0.333333333333
58,2013-06,3,0,0.0
59,2013-05,3,-1,-0.25
60,2013-04,4,0,0.0
61,2013-03,4,0,0.0
62,2013-02,4,2,1.0
63,2013-01,2,-2,-0.5
64,2012-12,4,-1,-0.2
65,2012-11,5,-4,-0.444444444444
66,2012-10,9,0,0.0
67,2012-09,9,5,1.25
68,2012-08,4,1,0.333333333333
69,2012-07,3,0,0.0
70,2012-06,3,-12,-0.8
71,2012-05,15,-15,-0.5
72,2012-04,30,17,1.30769230769
73,2012-03,13,9,2.25
74,2012-02,4,-2,-0.333333333333
75,2012-01,6,4,2.0
76,2011-12,2,0,0.0
77,2011-11,2,-6,-0.75
78,2011-10,8,4,1.0
79,2011-09,4,-2,-0.333333333333
80,2011-08,6,2,0.5
81,2011-07,4,2,1.0
82,2011-06,2,0,0.0
83,2011-05,2,-4,-0.666666666667
84,2011-04,6,3,1.0
85,2011-03,3,2,2.0
86,2011-02,1,-2,-0.666666666667
87,2011-01,3,2,2.0
88,2010-12,1,0,0.0
