,date,nums,increment,ratio
0,2018-04,9,-4,-0.307692307692
1,2018-03,13,2,0.181818181818
2,2018-02,11,-2,-0.153846153846
3,2018-01,13,2,0.181818181818
4,2017-12,11,-1,-0.0833333333333
5,2017-11,12,-6,-0.333333333333
6,2017-10,18,3,0.2
7,2017-09,15,-3,-0.166666666667
8,2017-08,18,-8,-0.307692307692
9,2017-07,26,12,0.857142857143
10,2017-06,14,-5,-0.263157894737
11,2017-05,19,-3,-0.136363636364
12,2017-04,22,7,0.466666666667
13,2017-03,15,4,0.363636363636
14,2017-02,11,1,0.1
15,2017-01,10,4,0.666666666667
16,2016-12,6,-4,-0.4
17,2016-11,10,-5,-0.333333333333
18,2016-10,15,3,0.25
19,2016-09,12,-1,-0.0769230769231
20,2016-08,13,7,1.16666666667
21,2016-07,6,-12,-0.666666666667
22,2016-06,18,11,1.57142857143
23,2016-05,7,-5,-0.416666666667
24,2016-04,12,3,0.333333333333
25,2016-03,9,-2,-0.181818181818
26,2016-02,11,4,0.571428571429
27,2016-01,7,-4,-0.363636363636
28,2015-12,11,6,1.2
29,2015-11,5,-2,-0.285714285714
30,2015-10,7,-5,-0.416666666667
31,2015-09,12,7,1.4
32,2015-08,5,-6,-0.545454545455
33,2015-07,11,3,0.375
34,2015-06,8,4,1.0
35,2015-05,4,-7,-0.636363636364
36,2015-04,11,2,0.222222222222
37,2015-03,9,7,3.5
38,2015-02,2,-6,-0.75
39,2015-01,8,3,0.6
40,2014-12,5,0,0.0
41,2014-11,5,0,0.0
42,2014-10,5,2,0.666666666667
43,2014-09,3,-5,-0.625
44,2014-08,8,5,1.66666666667
45,2014-07,3,-2,-0.4
46,2014-06,5,0,0.0
47,2014-05,5,0,0.0
48,2014-04,5,-3,-0.375
49,2014-03,8,4,1.0
50,2014-02,4,0,0.0
51,2014-01,4,-3,-0.428571428571
52,2013-12,7,0,0.0
53,2013-11,7,4,1.33333333333
54,2013-10,3,2,2.0
55,2013-09,1,-9,-0.9
56,2013-08,10,5,1.0
57,2013-07,5,2,0.666666666667
58,2013-06,3,2,2.0
59,2013-05,1,-6,-0.857142857143
60,2013-04,7,2,0.4
61,2013-03,5,4,4.0
62,2013-01,1,0,0.0
63,2012-10,1,0,0.0
64,2012-09,1,0,0.0
65,2012-08,1,-1,-0.5
66,2012-07,2,-4,-0.666666666667
67,2012-06,6,1,0.2
68,2012-05,5,1,0.25
69,2012-04,4,2,1.0
70,2012-03,2,-9,-0.818181818182
71,2012-02,11,6,1.2
72,2012-01,5,-3,-0.375
73,2011-12,8,3,0.6
74,2011-11,5,-2,-0.285714285714
75,2011-10,7,2,0.4
76,2011-09,5,0,0.0
77,2011-08,5,-2,-0.285714285714
78,2011-07,7,-1,-0.125
79,2011-06,8,0,0.0
80,2011-05,8,4,1.0
81,2011-04,4,-4,-0.5
82,2011-03,8,-1,-0.111111111111
83,2011-02,9,-5,-0.357142857143
84,2011-01,14,4,0.4
85,2010-12,10,2,0.25
86,2010-11,8,1,0.142857142857
87,2010-10,7,-42,-0.857142857143
88,2010-09,49,0,0.0
