,date,nums,increment,ratio
0,2018-04,1,0,0.0
1,2018-03,1,0,0.0
2,2018-01,1,-1,-0.5
3,2017-10,2,1,1.0
4,2017-07,1,0,0.0
5,2017-03,1,-1,-0.5
6,2017-02,2,0,0.0
7,2017-01,2,1,1.0
8,2016-10,1,-2,-0.666666666667
9,2016-09,3,2,2.0
10,2016-08,1,0,0.0
11,2016-07,1,0,0.0
12,2016-02,1,0,0.0
13,2015-11,1,0,0.0
14,2015-05,1,0,0.0
15,2015-04,1,0,0.0
16,2014-12,1,-1,-0.5
17,2014-09,2,1,1.0
18,2014-07,1,0,0.0
19,2014-06,1,-2,-0.666666666667
20,2014-05,3,2,2.0
21,2013-12,1,0,0.0
22,2013-03,1,0,0.0
23,2011-01,1,0,0.0
24,2010-10,1,0,0.0
