,date,nums,increment,ratio
0,2018-03,17,3,0.214285714286
1,2018-02,14,12,6.0
2,2018-01,2,-24,-0.923076923077
3,2017-12,26,-6,-0.1875
4,2017-11,32,26,4.33333333333
5,2017-10,6,2,0.5
6,2017-09,4,-10,-0.714285714286
7,2017-08,14,6,0.75
8,2017-07,8,-6,-0.428571428571
9,2017-06,14,-1,-0.0666666666667
10,2017-05,15,13,6.5
11,2017-03,2,-7,-0.777777777778
12,2017-02,9,-25,-0.735294117647
13,2017-01,34,17,1.0
14,2016-12,17,10,1.42857142857
15,2016-10,7,6,6.0
16,2016-09,1,-22,-0.95652173913
17,2016-08,23,-3,-0.115384615385
18,2016-07,26,-9,-0.257142857143
19,2016-06,35,15,0.75
20,2016-05,20,-19,-0.487179487179
21,2015-11,39,38,38.0
22,2015-10,1,0,0.0
23,2015-07,1,-4,-0.8
24,2015-04,5,2,0.666666666667
25,2015-02,3,-30,-0.909090909091
26,2015-01,33,26,3.71428571429
27,2014-12,7,0,0.0
28,2014-10,7,6,6.0
29,2014-08,1,-1,-0.5
30,2014-05,2,-30,-0.9375
31,2014-04,32,24,3.0
32,2014-02,8,-20,-0.714285714286
33,2013-12,28,27,27.0
34,2013-01,1,0,0.0
35,2012-12,1,-2,-0.666666666667
36,2012-10,3,-5,-0.625
37,2012-09,8,-16,-0.666666666667
38,2012-07,24,21,7.0
39,2012-02,3,-18,-0.857142857143
40,2012-01,21,16,3.2
41,2011-12,5,-4,-0.444444444444
42,2011-11,9,1,0.125
43,2011-10,8,-7,-0.466666666667
44,2011-09,15,1,0.0714285714286
45,2011-08,14,-2,-0.125
46,2011-07,16,14,7.0
47,2011-03,2,-8,-0.8
48,2010-11,10,7,2.33333333333
49,2010-09,3,1,0.5
50,2010-04,2,0,0.0
51,2010-03,2,-1,-0.333333333333
52,2010-02,3,2,2.0
53,2010-01,1,-5,-0.833333333333
54,2009-12,6,-8,-0.571428571429
55,2009-11,14,-24,-0.631578947368
56,2009-10,38,14,0.583333333333
57,2009-09,24,-8,-0.25
58,2009-08,32,24,3.0
59,2009-07,8,5,1.66666666667
60,2009-06,3,-2,-0.4
61,2009-05,5,-13,-0.722222222222
62,2009-04,18,-80,-0.816326530612
63,2009-03,98,70,2.5
64,2009-02,28,-61,-0.685393258427
65,2009-01,89,65,2.70833333333
66,2008-12,24,21,7.0
67,2008-07,3,-8,-0.727272727273
68,2008-06,11,8,2.66666666667
69,2008-05,3,-59,-0.951612903226
70,2008-04,62,53,5.88888888889
71,2008-03,9,-12,-0.571428571429
72,2008-02,21,10,0.909090909091
73,2007-12,11,-10,-0.47619047619
74,2007-11,21,8,0.615384615385
75,2007-10,13,12,12.0
76,2007-09,1,-3,-0.75
77,2007-08,4,-15,-0.789473684211
78,2007-07,19,15,3.75
79,2007-06,4,-7,-0.636363636364
80,2007-05,11,-11,-0.5
81,2007-04,22,12,1.2
82,2007-03,10,8,4.0
83,2006-12,2,-2,-0.5
84,2006-11,4,1,0.333333333333
85,2006-10,3,-63,-0.954545454545
86,2006-09,66,65,65.0
87,2006-07,1,-2,-0.666666666667
88,2006-05,3,1,0.5
89,2006-04,2,-3,-0.6
90,2006-03,5,4,4.0
91,2006-01,1,0,0.0
92,2005-08,1,-1,-0.5
93,2005-05,2,-1,-0.333333333333
94,2005-04,3,-1,-0.25
95,2005-01,4,2,1.0
96,2004-12,2,1,1.0
97,2004-11,1,-3,-0.75
98,2004-09,4,3,3.0
99,2004-08,1,-3,-0.75
100,2004-07,4,3,3.0
101,2004-05,1,-2,-0.666666666667
102,2004-04,3,1,0.5
103,2004-03,2,0,0.0
104,2004-02,2,-1,-0.333333333333
105,2003-12,3,-3,-0.5
106,2003-10,6,-2,-0.25
107,2003-09,8,-12,-0.6
108,2003-08,20,9,0.818181818182
109,2003-07,11,-29,-0.725
110,2003-06,40,35,7.0
111,2003-05,5,0,0.0
