,date,nums,increment,ratio
0,2018-04,29,-21,-0.42
1,2018-03,50,30,1.5
2,2018-02,20,-10,-0.333333333333
3,2018-01,30,3,0.111111111111
4,2017-12,27,-17,-0.386363636364
5,2017-11,44,18,0.692307692308
6,2017-10,26,1,0.04
7,2017-09,25,-2,-0.0740740740741
8,2017-08,27,-8,-0.228571428571
9,2017-07,35,-4,-0.102564102564
10,2017-06,39,10,0.344827586207
11,2017-05,29,-3,-0.09375
12,2017-04,32,-3,-0.0857142857143
13,2017-03,35,-6,-0.146341463415
14,2017-02,41,12,0.413793103448
15,2017-01,29,-9,-0.236842105263
16,2016-12,38,-15,-0.283018867925
17,2016-11,53,16,0.432432432432
18,2016-10,37,-8,-0.177777777778
19,2016-09,45,-9,-0.166666666667
20,2016-08,54,3,0.0588235294118
21,2016-07,51,17,0.5
22,2016-06,34,-20,-0.37037037037
23,2016-05,54,9,0.2
24,2016-04,45,-2,-0.0425531914894
25,2016-03,47,9,0.236842105263
26,2016-02,38,-14,-0.269230769231
27,2016-01,52,-3,-0.0545454545455
28,2015-12,55,19,0.527777777778
29,2015-11,36,8,0.285714285714
30,2015-10,28,-5,-0.151515151515
31,2015-09,33,9,0.375
32,2015-08,24,-11,-0.314285714286
33,2015-07,35,3,0.09375
34,2015-06,32,3,0.103448275862
35,2015-05,29,-13,-0.309523809524
36,2015-04,42,10,0.3125
37,2015-03,32,13,0.684210526316
38,2015-02,19,-8,-0.296296296296
39,2015-01,27,-1,-0.0357142857143
40,2014-12,28,-2,-0.0666666666667
41,2014-11,30,0,0.0
42,2014-10,30,13,0.764705882353
43,2014-09,17,-2,-0.105263157895
44,2014-08,19,-6,-0.24
45,2014-07,25,10,0.666666666667
46,2014-06,15,-6,-0.285714285714
47,2014-05,21,-5,-0.192307692308
48,2014-04,26,-3,-0.103448275862
49,2014-03,29,14,0.933333333333
50,2014-02,15,-3,-0.166666666667
51,2014-01,18,-1,-0.0526315789474
52,2013-12,19,-1,-0.05
53,2013-11,20,-1,-0.047619047619
54,2013-10,21,7,0.5
55,2013-09,14,-9,-0.391304347826
56,2013-08,23,1,0.0454545454545
57,2013-07,22,-5,-0.185185185185
58,2013-06,27,5,0.227272727273
59,2013-05,22,2,0.1
60,2013-04,20,-9,-0.310344827586
61,2013-03,29,14,0.933333333333
62,2013-02,15,-10,-0.4
63,2013-01,25,3,0.136363636364
64,2012-12,22,-2,-0.0833333333333
65,2012-11,24,2,0.0909090909091
66,2012-10,22,10,0.833333333333
67,2012-09,12,-10,-0.454545454545
68,2012-08,22,12,1.2
69,2012-07,10,-2,-0.166666666667
70,2012-06,12,1,0.0909090909091
71,2012-05,11,2,0.222222222222
72,2012-04,9,-3,-0.25
73,2012-03,12,8,2.0
74,2012-02,4,-2,-0.333333333333
75,2012-01,6,4,2.0
76,2011-12,2,-5,-0.714285714286
77,2011-11,7,2,0.4
78,2011-10,5,1,0.25
79,2011-09,4,-3,-0.428571428571
80,2011-08,7,2,0.4
81,2011-07,5,-1,-0.166666666667
82,2011-06,6,0,0.0
83,2011-05,6,2,0.5
84,2011-04,4,0,0.0
85,2011-03,4,-2,-0.333333333333
86,2011-02,6,5,5.0
87,2011-01,1,-2,-0.666666666667
88,2010-12,3,1,0.5
89,2010-11,2,-1,-0.333333333333
90,2010-10,3,0,0.0
91,2010-09,3,2,2.0
92,2010-08,1,-1,-0.5
93,2010-07,2,-2,-0.5
94,2010-06,4,3,3.0
95,2010-05,1,-2,-0.666666666667
96,2010-04,3,1,0.5
97,2010-03,2,1,1.0
98,2010-02,1,-1,-0.5
99,2010-01,2,0,0.0
100,2009-12,2,1,1.0
101,2009-11,1,-1,-0.5
102,2009-10,2,-1,-0.333333333333
103,2009-09,3,2,2.0
104,2009-08,1,-3,-0.75
105,2009-07,4,3,3.0
106,2009-06,1,0,0.0
107,2009-05,1,-2,-0.666666666667
108,2009-03,3,2,2.0
109,2009-02,1,-1,-0.5
110,2009-01,2,-1,-0.333333333333
111,2008-12,3,2,2.0
112,2008-11,1,0,0.0
113,2008-10,1,0,0.0
114,2008-05,1,0,0.0
115,2008-04,1,0,0.0
