,date,nums,increment,ratio
0,2018-04,5,-16,-0.761904761905
1,2018-03,21,5,0.3125
2,2018-02,16,3,0.230769230769
3,2018-01,13,8,1.6
4,2017-12,5,-1,-0.166666666667
5,2017-11,6,-3,-0.333333333333
6,2017-10,9,1,0.125
7,2017-08,8,-1,-0.111111111111
8,2017-07,9,4,0.8
9,2017-06,5,-3,-0.375
10,2017-05,8,4,1.0
11,2017-04,4,1,0.333333333333
12,2017-03,3,-8,-0.727272727273
13,2017-02,11,-1,-0.0833333333333
14,2017-01,12,-1,-0.0769230769231
15,2016-12,13,2,0.181818181818
16,2016-11,11,2,0.222222222222
17,2016-10,9,3,0.5
18,2016-09,6,-6,-0.5
19,2016-08,12,1,0.0909090909091
20,2016-07,11,-3,-0.214285714286
21,2016-06,14,8,1.33333333333
22,2016-05,6,1,0.2
23,2016-04,5,-2,-0.285714285714
24,2016-03,7,4,1.33333333333
25,2016-02,3,-4,-0.571428571429
26,2016-01,7,-1,-0.125
27,2015-12,8,-5,-0.384615384615
28,2015-11,13,12,12.0
29,2015-10,1,-2,-0.666666666667
30,2015-09,3,1,0.5
31,2015-07,2,1,1.0
32,2015-05,1,-1,-0.5
33,2015-04,2,0,0.0
34,2015-02,2,-5,-0.714285714286
35,2015-01,7,0,0.0
36,2014-12,7,2,0.4
37,2014-11,5,1,0.25
38,2014-10,4,3,3.0
39,2014-09,1,0,0.0
40,2014-08,1,-5,-0.833333333333
41,2014-07,6,3,1.0
42,2014-06,3,2,2.0
43,2014-05,1,-5,-0.833333333333
44,2014-04,6,5,5.0
45,2014-03,1,-6,-0.857142857143
46,2014-02,7,5,2.5
47,2014-01,2,-1,-0.333333333333
48,2013-12,3,2,2.0
49,2013-11,1,-2,-0.666666666667
50,2013-10,3,1,0.5
51,2013-08,2,1,1.0
52,2013-07,1,-2,-0.666666666667
53,2013-06,3,2,2.0
54,2013-05,1,0,0.0
55,2013-03,1,0,0.0
56,2013-02,1,-1,-0.5
57,2013-01,2,-3,-0.6
58,2012-12,5,-2,-0.285714285714
59,2012-10,7,5,2.5
60,2012-09,2,-4,-0.666666666667
61,2012-07,6,3,1.0
62,2012-05,3,2,2.0
63,2012-01,1,-1,-0.5
64,2011-10,2,1,1.0
65,2011-09,1,0,0.0
66,2011-05,1,-1,-0.5
67,2011-04,2,1,1.0
68,2011-03,1,0,0.0
69,2011-01,1,0,0.0
70,2010-10,1,0,0.0
71,2010-09,1,0,0.0
