,date,nums,increment,ratio
0,2018-04,1,-10,-0.909090909091
1,2018-03,11,4,0.571428571429
2,2018-02,7,6,6.0
3,2018-01,1,-2,-0.666666666667
4,2017-12,3,2,2.0
5,2017-11,1,-2,-0.666666666667
6,2017-10,3,2,2.0
7,2017-08,1,-2,-0.666666666667
8,2017-07,3,0,0.0
9,2017-06,3,0,0.0
10,2017-05,3,1,0.5
11,2017-04,2,-4,-0.666666666667
12,2017-02,6,-1,-0.142857142857
13,2017-01,7,3,0.75
14,2016-12,4,1,0.333333333333
15,2016-11,3,-1,-0.25
16,2016-10,4,-1,-0.2
17,2016-09,5,-1,-0.166666666667
18,2016-08,6,1,0.2
19,2016-07,5,-4,-0.444444444444
20,2016-06,9,5,1.25
21,2016-05,4,2,1.0
22,2016-04,2,0,0.0
23,2016-03,2,1,1.0
24,2016-01,1,-4,-0.8
25,2015-12,5,1,0.25
26,2015-11,4,1,0.333333333333
27,2015-09,3,1,0.5
28,2015-07,2,1,1.0
29,2015-05,1,-1,-0.5
30,2015-04,2,0,0.0
31,2015-02,2,-5,-0.714285714286
32,2015-01,7,0,0.0
33,2014-12,7,2,0.4
34,2014-11,5,1,0.25
35,2014-10,4,3,3.0
36,2014-09,1,0,0.0
37,2014-08,1,-5,-0.833333333333
38,2014-07,6,3,1.0
39,2014-06,3,2,2.0
40,2014-05,1,-5,-0.833333333333
41,2014-04,6,5,5.0
42,2014-03,1,-6,-0.857142857143
43,2014-02,7,5,2.5
44,2014-01,2,-1,-0.333333333333
45,2013-12,3,2,2.0
46,2013-11,1,-2,-0.666666666667
47,2013-10,3,1,0.5
48,2013-08,2,1,1.0
49,2013-07,1,-2,-0.666666666667
50,2013-06,3,2,2.0
51,2013-05,1,0,0.0
52,2013-03,1,0,0.0
53,2013-02,1,-1,-0.5
54,2013-01,2,-3,-0.6
55,2012-12,5,-2,-0.285714285714
56,2012-10,7,5,2.5
57,2012-09,2,-4,-0.666666666667
58,2012-07,6,3,1.0
59,2012-05,3,2,2.0
60,2012-01,1,-1,-0.5
61,2011-10,2,1,1.0
62,2011-09,1,0,0.0
63,2011-05,1,-1,-0.5
64,2011-04,2,1,1.0
65,2011-03,1,0,0.0
66,2011-01,1,0,0.0
67,2010-10,1,0,0.0
68,2010-09,1,0,0.0
