,date,nums,increment,ratio
0,2018-04,1,0,0.0
1,2018-03,1,0,0.0
2,2017-11,1,-2,-0.666666666667
3,2017-10,3,1,0.5
4,2017-09,2,1,1.0
5,2017-08,1,-1,-0.5
6,2017-04,2,1,1.0
7,2017-01,1,-5,-0.833333333333
8,2016-12,6,4,2.0
9,2016-11,2,-2,-0.5
10,2016-10,4,3,3.0
11,2016-06,1,-3,-0.75
12,2016-05,4,3,3.0
13,2016-04,1,-10,-0.909090909091
14,2016-02,11,9,4.5
15,2016-01,2,-2,-0.5
16,2015-12,4,2,1.0
17,2015-11,2,0,0.0
18,2015-10,2,0,0.0
19,2015-09,2,1,1.0
20,2015-08,1,0,0.0
21,2015-07,1,-4,-0.8
22,2015-06,5,-3,-0.375
23,2015-04,8,7,7.0
24,2015-03,1,-8,-0.888888888889
25,2015-01,9,7,3.5
26,2014-12,2,-2,-0.5
27,2014-11,4,3,3.0
28,2014-10,1,-8,-0.888888888889
29,2014-09,9,-27,-0.75
30,2014-08,36,35,35.0
31,2014-06,1,0,0.0
32,2014-05,1,-1,-0.5
33,2014-01,2,1,1.0
34,2013-12,1,-4,-0.8
35,2013-09,5,3,1.5
36,2013-06,2,-2,-0.5
37,2013-05,4,3,3.0
38,2013-04,1,-2,-0.666666666667
39,2013-02,3,2,2.0
40,2013-01,1,0,0.0
41,2012-12,1,-2,-0.666666666667
42,2012-10,3,2,2.0
43,2012-08,1,-1,-0.5
44,2012-07,2,1,1.0
45,2012-06,1,-6,-0.857142857143
46,2012-05,7,-11,-0.611111111111
47,2012-04,18,11,1.57142857143
48,2012-03,7,1,0.166666666667
49,2012-02,6,4,2.0
50,2012-01,2,-1,-0.333333333333
51,2011-11,3,-2,-0.4
52,2011-10,5,3,1.5
53,2011-09,2,-5,-0.714285714286
54,2011-08,7,-1,-0.125
55,2011-07,8,4,1.0
56,2011-06,4,1,0.333333333333
57,2011-05,3,-5,-0.625
58,2011-04,8,7,7.0
59,2011-03,1,-1,-0.5
60,2011-01,2,0,0.0
61,2010-10,2,0,0.0
62,2010-08,2,0,0.0
63,2010-07,2,-11,-0.846153846154
64,2010-06,13,10,3.33333333333
65,2010-03,3,2,2.0
66,2009-02,1,0,0.0
