,date,nums,increment,ratio
0,2018-04,396,-130,-0.247148288973
1,2018-03,526,154,0.413978494624
2,2018-02,372,66,0.21568627451
3,2018-01,306,91,0.423255813953
4,2017-12,215,-105,-0.328125
5,2017-11,320,-15,-0.044776119403
6,2017-10,335,20,0.0634920634921
7,2017-09,315,-120,-0.275862068966
8,2017-08,435,39,0.0984848484848
9,2017-07,396,-27,-0.063829787234
10,2017-06,423,137,0.479020979021
11,2017-05,286,6,0.0214285714286
12,2017-04,280,-4,-0.0140845070423
13,2017-03,284,119,0.721212121212
14,2017-02,165,-35,-0.175
15,2017-01,200,-12,-0.0566037735849
16,2016-12,212,-28,-0.116666666667
17,2016-11,240,-9,-0.0361445783133
18,2016-10,249,-172,-0.408551068884
19,2016-09,421,-49,-0.104255319149
20,2016-08,470,19,0.0421286031042
21,2016-07,451,86,0.235616438356
22,2016-06,365,63,0.208609271523
23,2016-05,302,-117,-0.27923627685
24,2016-04,419,111,0.36038961039
25,2016-03,308,-38,-0.109826589595
26,2016-02,346,159,0.850267379679
27,2016-01,187,-21,-0.100961538462
28,2015-12,208,-151,-0.42061281337
29,2015-11,359,-54,-0.130750605327
30,2015-10,413,-69,-0.143153526971
31,2015-09,482,2,0.00416666666667
32,2015-08,480,110,0.297297297297
33,2015-07,370,-66,-0.151376146789
34,2015-06,436,134,0.443708609272
35,2015-05,302,-57,-0.158774373259
36,2015-04,359,111,0.447580645161
37,2015-03,248,54,0.278350515464
38,2015-02,194,-185,-0.488126649077
39,2015-01,379,84,0.284745762712
40,2014-12,295,-116,-0.282238442822
41,2014-11,411,-251,-0.37915407855
42,2014-10,662,335,1.0244648318
43,2014-09,327,27,0.09
44,2014-08,300,3,0.010101010101
45,2014-07,297,25,0.0919117647059
46,2014-06,272,-36,-0.116883116883
47,2014-05,308,16,0.0547945205479
48,2014-04,292,-24,-0.0759493670886
49,2014-03,316,-9,-0.0276923076923
50,2014-02,325,-73,-0.183417085427
51,2014-01,398,45,0.127478753541
52,2013-12,353,7,0.0202312138728
53,2013-11,346,-203,-0.369763205829
54,2013-10,549,233,0.737341772152
55,2013-09,316,5,0.016077170418
56,2013-08,311,-27,-0.0798816568047
57,2013-07,338,138,0.69
58,2013-06,200,-76,-0.275362318841
59,2013-05,276,92,0.5
60,2013-04,184,-55,-0.230125523013
61,2013-03,239,-1,-0.00416666666667
62,2013-02,240,-56,-0.189189189189
63,2013-01,296,-270,-0.47703180212
64,2012-12,566,147,0.350835322196
65,2012-11,419,109,0.351612903226
66,2012-10,310,162,1.09459459459
67,2012-09,148,-37,-0.2
68,2012-08,185,-151,-0.449404761905
69,2012-07,336,-83,-0.198090692124
70,2012-06,419,9,0.0219512195122
71,2012-05,410,-17,-0.03981264637
72,2012-04,427,18,0.0440097799511
73,2012-03,409,-114,-0.217973231358
74,2012-02,523,238,0.835087719298
75,2012-01,285,-233,-0.449806949807
76,2011-12,518,238,0.85
77,2011-11,280,-54,-0.161676646707
78,2011-10,334,54,0.192857142857
79,2011-09,280,-9,-0.0311418685121
80,2011-08,289,-115,-0.284653465347
81,2011-07,404,11,0.027989821883
82,2011-06,393,-90,-0.186335403727
83,2011-05,483,61,0.144549763033
84,2011-04,422,3,0.00715990453461
85,2011-03,419,191,0.837719298246
86,2011-02,228,-229,-0.501094091904
87,2011-01,457,-151,-0.248355263158
88,2010-12,608,159,0.354120267261
89,2010-11,449,92,0.257703081232
90,2010-10,357,-42,-0.105263157895
91,2010-09,399,-322,-0.446601941748
92,2010-08,721,-373,-0.340950639854
93,2010-07,1094,515,0.889464594128
94,2010-06,579,42,0.0782122905028
95,2010-05,537,-1,-0.00185873605948
96,2010-04,538,92,0.206278026906
97,2010-03,446,-95,-0.175600739372
98,2010-02,541,180,0.498614958449
99,2010-01,361,-48,-0.117359413203
100,2009-12,409,190,0.867579908676
101,2009-11,219,-152,-0.409703504043
102,2009-10,371,83,0.288194444444
103,2009-09,288,-5,-0.0170648464164
104,2009-08,293,127,0.765060240964
105,2009-07,166,39,0.307086614173
106,2009-06,127,-326,-0.719646799117
107,2009-05,453,48,0.118518518519
108,2009-04,405,85,0.265625
109,2009-03,320,-325,-0.503875968992
110,2009-02,645,168,0.352201257862
111,2009-01,477,291,1.56451612903
112,2008-12,186,151,4.31428571429
113,2008-11,35,-6,-0.146341463415
114,2008-10,41,-3,-0.0681818181818
115,2008-09,44,-2,-0.0434782608696
116,2008-08,46,-14,-0.233333333333
117,2008-07,60,8,0.153846153846
118,2008-06,52,46,7.66666666667
119,2008-05,6,-13,-0.684210526316
120,2008-04,19,-60,-0.759493670886
121,2008-03,79,26,0.490566037736
122,2008-02,53,41,3.41666666667
123,2008-01,12,-13,-0.52
124,2007-12,25,-42,-0.626865671642
125,2007-11,67,46,2.19047619048
126,2007-10,21,0,0.0
