,date,nums,increment,ratio
0,2018-04,39,-18,-0.315789473684
1,2018-03,57,17,0.425
2,2018-02,40,-13,-0.245283018868
3,2018-01,53,3,0.06
4,2017-12,50,8,0.190476190476
5,2017-11,42,-7,-0.142857142857
6,2017-10,49,-22,-0.30985915493
7,2017-09,71,20,0.392156862745
8,2017-08,51,-4,-0.0727272727273
9,2017-07,55,-1,-0.0178571428571
10,2017-06,56,7,0.142857142857
11,2017-05,49,2,0.0425531914894
12,2017-04,47,-19,-0.287878787879
13,2017-03,66,17,0.34693877551
14,2017-02,49,6,0.139534883721
15,2017-01,43,0,0.0
16,2016-12,43,-8,-0.156862745098
17,2016-11,51,21,0.7
18,2016-10,30,-19,-0.387755102041
19,2016-09,49,-11,-0.183333333333
20,2016-08,60,6,0.111111111111
21,2016-07,54,3,0.0588235294118
22,2016-06,51,1,0.02
23,2016-05,50,-4,-0.0740740740741
24,2016-04,54,20,0.588235294118
25,2016-03,34,-14,-0.291666666667
26,2016-02,48,-8,-0.142857142857
27,2016-01,56,2,0.037037037037
28,2015-12,54,15,0.384615384615
29,2015-11,39,-11,-0.22
30,2015-10,50,13,0.351351351351
31,2015-09,37,1,0.0277777777778
32,2015-08,36,-14,-0.28
33,2015-07,50,-11,-0.180327868852
34,2015-06,61,-17,-0.217948717949
35,2015-05,78,28,0.56
36,2015-04,50,11,0.282051282051
37,2015-03,39,4,0.114285714286
38,2015-02,35,-50,-0.588235294118
39,2015-01,85,11,0.148648648649
40,2014-12,74,20,0.37037037037
41,2014-11,54,-9,-0.142857142857
42,2014-10,63,15,0.3125
43,2014-09,48,13,0.371428571429
44,2014-08,35,-22,-0.385964912281
45,2014-07,57,5,0.0961538461538
46,2014-06,52,10,0.238095238095
47,2014-05,42,-10,-0.192307692308
48,2014-04,52,4,0.0833333333333
49,2014-03,48,14,0.411764705882
50,2014-02,34,11,0.478260869565
51,2014-01,23,-8,-0.258064516129
52,2013-12,31,12,0.631578947368
53,2013-11,19,-16,-0.457142857143
54,2013-10,35,5,0.166666666667
55,2013-09,30,-13,-0.302325581395
56,2013-08,43,9,0.264705882353
57,2013-07,34,9,0.36
58,2013-06,25,-2,-0.0740740740741
59,2013-05,27,-4,-0.129032258065
60,2013-04,31,-2,-0.0606060606061
61,2013-03,33,4,0.137931034483
62,2013-02,29,-5,-0.147058823529
63,2013-01,34,8,0.307692307692
64,2012-12,26,-2,-0.0714285714286
65,2012-11,28,-4,-0.125
66,2012-10,32,13,0.684210526316
67,2012-09,19,-5,-0.208333333333
68,2012-08,24,3,0.142857142857
69,2012-07,21,10,0.909090909091
70,2012-06,11,-2,-0.153846153846
71,2012-05,13,-8,-0.380952380952
72,2012-04,21,4,0.235294117647
73,2012-03,17,1,0.0625
74,2012-02,16,-3,-0.157894736842
75,2012-01,19,11,1.375
76,2011-12,8,-13,-0.619047619048
77,2011-11,21,12,1.33333333333
78,2011-10,9,-4,-0.307692307692
79,2011-09,13,5,0.625
80,2011-08,8,-2,-0.2
81,2011-07,10,4,0.666666666667
82,2011-06,6,-4,-0.4
83,2011-05,10,1,0.111111111111
84,2011-04,9,4,0.8
85,2011-03,5,1,0.25
86,2011-02,4,-5,-0.555555555556
87,2011-01,9,5,1.25
88,2010-12,4,1,0.333333333333
89,2010-11,3,-1,-0.25
90,2010-10,4,1,0.333333333333
91,2010-09,3,1,0.5
92,2010-08,2,0,0.0
93,2010-07,2,-3,-0.6
94,2010-06,5,2,0.666666666667
95,2010-05,3,2,2.0
96,2010-04,1,-4,-0.8
97,2010-03,5,4,4.0
98,2010-02,1,0,0.0
99,2010-01,1,-4,-0.8
100,2009-12,5,3,1.5
101,2009-11,2,0,0.0
102,2009-10,2,-3,-0.6
103,2009-09,5,4,4.0
104,2009-08,1,0,0.0
105,2009-07,1,0,0.0
106,2009-06,1,0,0.0
107,2009-05,1,0,0.0
108,2009-03,1,0,0.0
