,date,nums,increment,ratio
0,2018-05,1,-4,-0.8
1,2018-04,5,-4,-0.444444444444
2,2018-03,9,-3,-0.25
3,2018-02,12,0,0.0
4,2018-01,12,2,0.2
5,2017-12,10,8,4.0
6,2017-11,2,-6,-0.75
7,2017-10,8,2,0.333333333333
8,2017-09,6,3,1.0
9,2017-08,3,-4,-0.571428571429
10,2017-07,7,-3,-0.3
11,2017-06,10,7,2.33333333333
12,2017-05,3,-5,-0.625
13,2017-04,8,3,0.6
14,2017-03,5,4,4.0
15,2017-02,1,-5,-0.833333333333
16,2017-01,6,-2,-0.25
17,2016-12,8,3,0.6
18,2016-11,5,3,1.5
19,2016-10,2,-1,-0.333333333333
20,2016-09,3,-4,-0.571428571429
21,2016-08,7,-2,-0.222222222222
22,2016-07,9,1,0.125
23,2016-06,8,-2,-0.2
24,2016-05,10,9,9.0
25,2016-04,1,-5,-0.833333333333
26,2016-03,6,0,0.0
27,2016-02,6,-5,-0.454545454545
28,2016-01,11,7,1.75
29,2015-12,4,-3,-0.428571428571
30,2015-11,7,-9,-0.5625
31,2015-10,16,2,0.142857142857
32,2015-09,14,8,1.33333333333
33,2015-08,6,-9,-0.6
34,2015-07,15,-6,-0.285714285714
35,2015-06,21,14,2.0
36,2015-05,7,-11,-0.611111111111
37,2015-04,18,2,0.125
38,2015-03,16,5,0.454545454545
39,2015-02,11,-14,-0.56
40,2015-01,25,1,0.0416666666667
41,2014-12,24,5,0.263157894737
42,2014-11,19,-32,-0.627450980392
43,2014-10,51,14,0.378378378378
44,2014-09,37,2,0.0571428571429
45,2014-08,35,15,0.75
46,2014-07,20,0,0.0
47,2014-06,20,2,0.111111111111
48,2014-05,18,10,1.25
49,2014-04,8,-4,-0.333333333333
50,2014-03,12,-13,-0.52
51,2014-02,25,-2,-0.0740740740741
52,2014-01,27,-8,-0.228571428571
53,2013-12,35,9,0.346153846154
54,2013-11,26,-3,-0.103448275862
55,2013-10,29,8,0.380952380952
56,2013-09,21,1,0.05
57,2013-08,20,0,0.0
58,2013-07,20,13,1.85714285714
59,2013-06,7,-14,-0.666666666667
60,2013-05,21,7,0.5
61,2013-04,14,0,0.0
62,2013-03,14,-8,-0.363636363636
63,2013-02,22,5,0.294117647059
64,2013-01,17,-2,-0.105263157895
65,2012-12,19,7,0.583333333333
66,2012-11,12,-2,-0.142857142857
67,2012-10,14,5,0.555555555556
68,2012-09,9,-14,-0.608695652174
69,2012-08,23,4,0.210526315789
70,2012-07,19,-9,-0.321428571429
71,2012-06,28,19,2.11111111111
72,2012-05,9,-10,-0.526315789474
73,2012-04,19,4,0.266666666667
74,2012-03,15,-1,-0.0625
75,2012-02,16,4,0.333333333333
76,2012-01,12,5,0.714285714286
77,2011-12,7,-6,-0.461538461538
78,2011-11,13,-30,-0.697674418605
79,2011-10,43,28,1.86666666667
80,2011-09,15,10,2.0
81,2011-08,5,-12,-0.705882352941
82,2011-07,17,1,0.0625
83,2011-06,16,13,4.33333333333
84,2011-05,3,1,0.5
85,2011-04,2,-8,-0.8
86,2011-03,10,6,1.5
87,2011-02,4,-6,-0.6
88,2011-01,10,7,2.33333333333
89,2010-11,3,-1,-0.25
90,2010-10,4,0,0.0
91,2010-09,4,0,0.0
