,date,nums,increment,ratio
0,2018-03,3,2,2.0
1,2018-01,1,-5,-0.833333333333
2,2017-12,6,4,2.0
3,2017-11,2,-1,-0.333333333333
4,2017-09,3,1,0.5
5,2017-06,2,-7,-0.777777777778
6,2017-05,9,8,8.0
7,2017-04,1,-1,-0.5
8,2017-03,2,0,0.0
9,2017-01,2,-1,-0.333333333333
10,2016-11,3,1,0.5
11,2016-10,2,-3,-0.6
12,2016-07,5,-5,-0.5
13,2016-04,10,5,1.0
14,2016-02,5,2,0.666666666667
15,2016-01,3,-3,-0.5
16,2015-11,6,-16,-0.727272727273
17,2015-10,22,19,6.33333333333
18,2015-08,3,-1,-0.25
19,2015-07,4,2,1.0
20,2015-06,2,-3,-0.6
21,2015-05,5,4,4.0
22,2015-04,1,-2,-0.666666666667
23,2015-03,3,-3,-0.5
24,2015-01,6,5,5.0
25,2014-12,1,-3,-0.75
26,2014-11,4,2,1.0
27,2013-02,2,-9,-0.818181818182
28,2010-07,11,10,10.0
29,2010-05,1,0,0.0
