,date,nums,increment,ratio
0,2018-03,1,0,0.0
1,2018-01,1,-1,-0.5
2,2017-12,2,1,1.0
3,2017-11,1,0,0.0
4,2017-09,1,0,0.0
5,2017-06,1,-1,-0.5
6,2017-05,2,1,1.0
7,2017-03,1,0,0.0
8,2016-11,1,0,0.0
9,2016-10,1,0,0.0
10,2016-07,1,-2,-0.666666666667
11,2016-04,3,1,0.5
12,2016-02,2,1,1.0
13,2016-01,1,-1,-0.5
14,2015-11,2,-4,-0.666666666667
15,2015-10,6,5,5.0
16,2015-08,1,-1,-0.5
17,2015-07,2,1,1.0
18,2015-06,1,0,0.0
19,2015-05,1,-1,-0.5
20,2015-03,2,1,1.0
21,2015-01,1,0,0.0
22,2014-11,1,0,0.0
23,2014-04,1,0,0.0
