,date,nums,increment,ratio
0,2018-03,3,-2,-0.4
1,2018-01,5,4,4.0
2,2017-12,1,-1,-0.5
3,2017-11,2,1,1.0
4,2017-10,1,0,0.0
5,2017-08,1,-2,-0.666666666667
6,2017-06,3,2,2.0
7,2017-04,1,0,0.0
8,2017-03,1,-1,-0.5
9,2016-12,2,-1,-0.333333333333
10,2016-09,3,2,2.0
11,2016-07,1,0,0.0
12,2016-06,1,-3,-0.75
13,2016-05,4,1,0.333333333333
14,2016-03,3,2,2.0
15,2016-02,1,0,0.0
16,2015-11,1,-1,-0.5
17,2015-08,2,-3,-0.6
18,2015-07,5,-2,-0.285714285714
19,2015-06,7,5,2.5
20,2015-04,2,0,0.0
21,2015-03,2,0,0.0
22,2015-01,2,1,1.0
23,2014-12,1,0,0.0
24,2014-05,1,0,0.0
25,2013-11,1,0,0.0
26,2013-08,1,0,0.0
27,2013-06,1,0,0.0
