,date,nums,increment,ratio
0,2018-04,3,2,2.0
1,2018-03,1,-1,-0.5
2,2018-01,2,0,0.0
3,2017-12,2,1,1.0
4,2017-08,1,0,0.0
5,2017-06,1,-6,-0.857142857143
6,2017-04,7,2,0.4
7,2017-02,5,1,0.25
8,2017-01,4,3,3.0
9,2016-12,1,0,0.0
10,2016-10,1,-3,-0.75
11,2016-09,4,-1,-0.2
12,2016-08,5,3,1.5
13,2016-07,2,-10,-0.833333333333
14,2016-05,12,10,5.0
15,2016-04,2,0,0.0
16,2016-01,2,0,0.0
17,2015-08,2,1,1.0
18,2015-04,1,-7,-0.875
19,2013-11,8,6,3.0
20,2013-07,2,-2,-0.5
21,2013-05,4,3,3.0
22,2013-04,1,-3,-0.75
23,2013-03,4,0,0.0
