,date,nums,increment,ratio
0,2018-04,9,-35,-0.795454545455
1,2018-03,44,35,3.88888888889
2,2018-02,9,-6,-0.4
3,2018-01,15,4,0.363636363636
4,2017-12,11,-18,-0.620689655172
5,2017-11,29,16,1.23076923077
6,2017-10,13,0,0.0
7,2017-09,13,-13,-0.5
8,2017-08,26,6,0.3
9,2017-07,20,-6,-0.230769230769
10,2017-06,26,2,0.0833333333333
11,2017-05,24,-8,-0.25
12,2017-04,32,3,0.103448275862
13,2017-03,29,11,0.611111111111
14,2017-02,18,1,0.0588235294118
15,2017-01,17,-15,-0.46875
16,2016-12,32,-19,-0.372549019608
17,2016-11,51,20,0.645161290323
18,2016-10,31,14,0.823529411765
19,2016-09,17,8,0.888888888889
20,2016-08,9,-30,-0.769230769231
21,2016-07,39,30,3.33333333333
22,2016-06,9,-19,-0.678571428571
23,2016-05,28,-90,-0.762711864407
24,2016-04,118,74,1.68181818182
25,2016-03,44,9,0.257142857143
26,2016-02,35,15,0.75
27,2016-01,20,2,0.111111111111
28,2015-12,18,7,0.636363636364
29,2015-11,11,-22,-0.666666666667
30,2015-10,33,25,3.125
31,2015-09,8,-15,-0.652173913043
32,2015-08,23,7,0.4375
33,2015-07,16,12,3.0
34,2015-06,4,-10,-0.714285714286
35,2015-05,14,-10,-0.416666666667
36,2015-04,24,5,0.263157894737
37,2015-03,19,-10,-0.344827586207
38,2015-02,29,16,1.23076923077
39,2015-01,13,0,0.0
40,2014-12,13,5,0.625
41,2014-11,8,2,0.333333333333
42,2014-10,6,-53,-0.898305084746
43,2014-09,59,38,1.80952380952
44,2014-08,21,-8,-0.275862068966
45,2014-07,29,16,1.23076923077
46,2014-06,13,1,0.0833333333333
47,2014-05,12,-6,-0.333333333333
48,2014-04,18,-53,-0.746478873239
49,2014-03,71,52,2.73684210526
50,2014-02,19,0,0.0
51,2014-01,19,5,0.357142857143
52,2013-12,14,-1,-0.0666666666667
53,2013-11,15,6,0.666666666667
54,2013-10,9,0,0.0
55,2013-09,9,4,0.8
56,2013-08,5,-5,-0.5
57,2013-07,10,-3,-0.230769230769
58,2013-06,13,1,0.0833333333333
59,2013-05,12,-35,-0.744680851064
60,2013-04,47,7,0.175
61,2013-03,40,17,0.739130434783
62,2013-02,23,-25,-0.520833333333
63,2013-01,48,3,0.0666666666667
64,2012-12,45,40,8.0
65,2012-11,5,-18,-0.782608695652
66,2012-10,23,18,3.6
67,2012-09,5,4,4.0
68,2012-08,1,-12,-0.923076923077
69,2012-07,13,-10,-0.434782608696
70,2012-06,23,-9,-0.28125
71,2012-05,32,-1,-0.030303030303
72,2012-04,33,-45,-0.576923076923
73,2012-03,78,-22,-0.22
74,2012-02,100,13,0.149425287356
75,2012-01,87,-38,-0.304
76,2011-12,125,65,1.08333333333
77,2011-11,60,52,6.5
78,2011-10,8,-12,-0.6
79,2011-09,20,19,19.0
80,2011-08,1,-9,-0.9
81,2011-07,10,-5,-0.333333333333
82,2011-06,15,7,0.875
83,2011-05,8,-3,-0.272727272727
84,2011-04,11,4,0.571428571429
85,2011-03,7,-1,-0.125
86,2011-02,8,-15,-0.652173913043
87,2011-01,23,-24,-0.510638297872
88,2010-12,47,18,0.620689655172
89,2010-11,29,-1,-0.0333333333333
90,2010-10,30,16,1.14285714286
91,2010-09,14,1,0.0769230769231
92,2010-08,13,9,2.25
93,2010-07,4,-6,-0.6
94,2010-06,10,-22,-0.6875
95,2010-05,32,0,0.0
