,date,nums,increment,ratio
0,2018-04,29,-12,-0.292682926829
1,2018-03,41,25,1.5625
2,2018-02,16,7,0.777777777778
3,2018-01,9,-13,-0.590909090909
4,2017-12,22,-3,-0.12
5,2017-11,25,4,0.190476190476
6,2017-10,21,7,0.5
7,2017-09,14,-13,-0.481481481481
8,2017-08,27,7,0.35
9,2017-07,20,-2,-0.0909090909091
10,2017-06,22,-5,-0.185185185185
11,2017-05,27,-7,-0.205882352941
12,2017-04,34,4,0.133333333333
13,2017-03,30,5,0.2
14,2017-02,25,-1,-0.0384615384615
15,2017-01,26,3,0.130434782609
16,2016-12,23,-13,-0.361111111111
17,2016-11,36,11,0.44
18,2016-10,25,1,0.0416666666667
19,2016-09,24,10,0.714285714286
20,2016-08,14,-22,-0.611111111111
21,2016-07,36,12,0.5
22,2016-06,24,7,0.411764705882
23,2016-05,17,-42,-0.71186440678
24,2016-04,59,28,0.903225806452
25,2016-03,31,7,0.291666666667
26,2016-02,24,3,0.142857142857
27,2016-01,21,7,0.5
28,2015-12,14,-7,-0.333333333333
29,2015-11,21,-11,-0.34375
30,2015-10,32,27,5.4
31,2015-09,5,-18,-0.782608695652
32,2015-08,23,4,0.210526315789
33,2015-07,19,5,0.357142857143
34,2015-06,14,-6,-0.3
35,2015-05,20,2,0.111111111111
36,2015-04,18,-1,-0.0526315789474
37,2015-03,19,1,0.0555555555556
38,2015-02,18,0,0.0
39,2015-01,18,-2,-0.1
40,2014-12,20,4,0.25
41,2014-11,16,2,0.142857142857
42,2014-10,14,3,0.272727272727
43,2014-09,11,-1,-0.0833333333333
44,2014-08,12,-7,-0.368421052632
45,2014-07,19,-1,-0.05
46,2014-06,20,-1,-0.047619047619
47,2014-05,21,0,0.0
48,2014-04,21,-1,-0.0454545454545
49,2014-03,22,12,1.2
50,2014-02,10,-9,-0.473684210526
51,2014-01,19,5,0.357142857143
52,2013-12,14,5,0.555555555556
53,2013-11,9,0,0.0
54,2013-10,9,1,0.125
55,2013-09,8,3,0.6
56,2013-08,5,0,0.0
57,2013-07,5,-9,-0.642857142857
58,2013-06,14,0,0.0
59,2013-05,14,-3,-0.176470588235
60,2013-04,17,-4,-0.190476190476
61,2013-03,21,18,6.0
62,2013-02,3,0,0.0
