,date,nums,increment,ratio
0,2018-04,16,-6,-0.272727272727
1,2018-03,22,14,1.75
2,2018-02,8,6,3.0
3,2018-01,2,-7,-0.777777777778
4,2017-12,9,-2,-0.181818181818
5,2017-11,11,2,0.222222222222
6,2017-10,9,2,0.285714285714
7,2017-09,7,-3,-0.3
8,2017-08,10,1,0.111111111111
9,2017-07,9,2,0.285714285714
10,2017-06,7,-5,-0.416666666667
11,2017-05,12,-13,-0.52
12,2017-04,25,13,1.08333333333
13,2017-03,12,3,0.333333333333
14,2017-02,9,1,0.125
15,2017-01,8,-3,-0.272727272727
16,2016-12,11,-13,-0.541666666667
17,2016-11,24,9,0.6
18,2016-10,15,0,0.0
19,2016-09,15,9,1.5
20,2016-08,6,-11,-0.647058823529
21,2016-07,17,11,1.83333333333
22,2016-06,6,-2,-0.25
23,2016-05,8,-34,-0.809523809524
24,2016-04,42,20,0.909090909091
25,2016-03,22,12,1.2
26,2016-02,10,6,1.5
27,2016-01,4,-2,-0.333333333333
28,2015-12,6,1,0.2
29,2015-11,5,-9,-0.642857142857
30,2015-10,14,0,0.0
31,2015-08,14,4,0.4
32,2015-07,10,8,4.0
33,2015-06,2,-4,-0.666666666667
34,2015-05,6,-4,-0.4
35,2015-04,10,1,0.111111111111
36,2015-03,9,-1,-0.1
37,2015-02,10,3,0.428571428571
38,2015-01,7,0,0.0
39,2014-12,7,3,0.75
40,2014-11,4,0,0.0
41,2014-10,4,0,0.0
42,2014-09,4,-3,-0.428571428571
43,2014-08,7,0,0.0
44,2014-07,7,0,0.0
45,2014-06,7,1,0.166666666667
46,2014-05,6,0,0.0
47,2014-04,6,0,0.0
48,2014-03,6,4,2.0
49,2014-01,2,1,1.0
50,2013-09,1,-2,-0.666666666667
51,2013-07,3,2,2.0
52,2013-06,1,-1,-0.5
53,2013-05,2,0,0.0
54,2013-04,2,-3,-0.6
55,2013-03,5,0,0.0
