,date,nums,increment,ratio
0,2018-04,226,-127,-0.359773371105
1,2018-03,353,195,1.23417721519
2,2018-02,158,-89,-0.36032388664
3,2018-01,247,20,0.0881057268722
4,2017-12,227,-5,-0.0215517241379
5,2017-11,232,65,0.389221556886
6,2017-10,167,-62,-0.270742358079
7,2017-09,229,-50,-0.179211469534
8,2017-08,279,24,0.0941176470588
9,2017-07,255,12,0.0493827160494
10,2017-06,243,22,0.0995475113122
11,2017-05,221,-37,-0.143410852713
12,2017-04,258,-1,-0.003861003861
13,2017-03,259,106,0.692810457516
14,2017-02,153,14,0.10071942446
15,2017-01,139,-26,-0.157575757576
16,2016-12,165,-8,-0.0462427745665
17,2016-11,173,28,0.193103448276
18,2016-10,145,-11,-0.0705128205128
19,2016-09,156,-4,-0.025
20,2016-08,160,6,0.038961038961
21,2016-07,154,0,0.0
22,2016-06,154,-27,-0.149171270718
23,2016-05,181,9,0.0523255813953
24,2016-04,172,-18,-0.0947368421053
25,2016-03,190,102,1.15909090909
26,2016-02,88,-20,-0.185185185185
27,2016-01,108,-9,-0.0769230769231
28,2015-12,117,13,0.125
29,2015-11,104,35,0.507246376812
30,2015-10,69,-14,-0.168674698795
31,2015-09,83,3,0.0375
32,2015-08,80,-14,-0.148936170213
33,2015-07,94,18,0.236842105263
34,2015-06,76,-7,-0.0843373493976
35,2015-05,83,-21,-0.201923076923
36,2015-04,104,17,0.195402298851
37,2015-03,87,32,0.581818181818
38,2015-02,55,-20,-0.266666666667
39,2015-01,75,7,0.102941176471
40,2014-12,68,0,0.0
41,2014-11,68,-1,-0.0144927536232
42,2014-10,69,19,0.38
43,2014-09,50,7,0.162790697674
44,2014-08,43,-11,-0.203703703704
45,2014-07,54,-1,-0.0181818181818
46,2014-06,55,14,0.341463414634
47,2014-05,41,5,0.138888888889
48,2014-04,36,-8,-0.181818181818
49,2014-03,44,11,0.333333333333
50,2014-02,33,5,0.178571428571
51,2014-01,28,-9,-0.243243243243
52,2013-12,37,-8,-0.177777777778
53,2013-11,45,30,2.0
54,2013-10,15,-2,-0.117647058824
55,2013-09,17,2,0.133333333333
56,2013-08,15,-9,-0.375
57,2013-07,24,5,0.263157894737
58,2013-06,19,-2,-0.0952380952381
59,2013-05,21,1,0.05
60,2013-04,20,-6,-0.230769230769
61,2013-03,26,21,4.2
62,2013-02,5,0,0.0
