,date,nums,increment,ratio
0,2018-04,7,-117,-0.943548387097
1,2018-03,124,-270,-0.685279187817
2,2018-02,394,-265,-0.402124430956
3,2018-01,659,-317,-0.324795081967
4,2017-12,976,-266,-0.214170692432
5,2017-11,1242,346,0.386160714286
6,2017-10,896,62,0.0743405275779
7,2017-09,834,99,0.134693877551
8,2017-08,735,252,0.521739130435
9,2017-07,483,-394,-0.449258836944
10,2017-06,877,80,0.100376411543
11,2017-05,797,310,0.636550308008
12,2017-04,487,-180,-0.269865067466
13,2017-03,667,137,0.258490566038
14,2017-02,530,54,0.113445378151
15,2017-01,476,46,0.106976744186
16,2016-12,430,-211,-0.329173166927
17,2016-11,641,184,0.402625820569
18,2016-10,457,-51,-0.100393700787
19,2016-09,508,-107,-0.173983739837
20,2016-08,615,279,0.830357142857
21,2016-07,336,-113,-0.251670378619
22,2016-06,449,-148,-0.247906197655
23,2016-05,597,159,0.36301369863
24,2016-04,438,-115,-0.207956600362
25,2016-03,553,5,0.00912408759124
26,2016-02,548,-32,-0.0551724137931
27,2016-01,580,146,0.336405529954
28,2015-12,434,-113,-0.206581352834
29,2015-11,547,9,0.0167286245353
30,2015-10,538,-245,-0.312899106003
31,2015-09,783,179,0.296357615894
32,2015-08,604,-192,-0.241206030151
33,2015-07,796,-54,-0.0635294117647
34,2015-06,850,93,0.12285336856
35,2015-05,757,-13,-0.0168831168831
36,2015-04,770,-168,-0.179104477612
37,2015-03,938,148,0.187341772152
38,2015-02,790,294,0.592741935484
39,2015-01,496,-1,-0.00201207243461
40,2014-12,497,2,0.0040404040404
41,2014-11,495,6,0.0122699386503
42,2014-10,489,-30,-0.0578034682081
43,2014-09,519,-114,-0.18009478673
44,2014-08,633,0,0.0
45,2014-07,633,-69,-0.0982905982906
46,2014-06,702,119,0.204116638079
47,2014-05,583,137,0.307174887892
48,2014-04,446,-136,-0.233676975945
49,2014-03,582,-62,-0.0962732919255
50,2014-02,644,52,0.0878378378378
51,2014-01,592,140,0.309734513274
52,2013-12,452,-188,-0.29375
53,2013-11,640,-148,-0.187817258883
54,2013-10,788,314,0.662447257384
55,2013-09,474,-133,-0.219110378913
56,2013-08,607,86,0.165067178503
57,2013-07,521,-80,-0.133111480865
58,2013-06,601,-451,-0.428707224335
59,2013-05,1052,268,0.341836734694
60,2013-04,784,-342,-0.303730017762
61,2013-03,1126,79,0.0754536771729
62,2013-02,1047,315,0.430327868852
63,2013-01,732,46,0.067055393586
64,2012-12,686,-499,-0.421097046414
65,2012-11,1185,210,0.215384615385
66,2012-10,975,112,0.129779837775
67,2012-09,863,9,0.0105386416862
68,2012-08,854,196,0.297872340426
69,2012-07,658,-4,-0.00604229607251
70,2012-06,662,-229,-0.257014590348
71,2012-05,891,282,0.463054187192
72,2012-04,609,-263,-0.301605504587
73,2012-03,872,-49,-0.0532030401737
74,2012-02,921,184,0.249660786974
75,2012-01,737,126,0.206219312602
76,2011-12,611,-246,-0.287047841307
77,2011-11,857,149,0.210451977401
78,2011-10,708,-176,-0.199095022624
79,2011-09,884,283,0.470881863561
80,2011-08,601,65,0.121268656716
81,2011-07,536,-88,-0.141025641026
82,2011-06,624,-98,-0.135734072022
83,2011-05,722,-62,-0.0790816326531
84,2011-04,784,33,0.0439414114514
85,2011-03,751,-118,-0.135788262371
86,2011-02,869,17,0.0199530516432
87,2011-01,852,198,0.302752293578
88,2010-12,654,-666,-0.504545454545
89,2010-11,1320,59,0.0467882632831
90,2010-10,1261,389,0.446100917431
91,2010-09,872,-136,-0.134920634921
92,2010-08,1008,300,0.423728813559
93,2010-07,708,-380,-0.349264705882
94,2010-06,1088,218,0.250574712644
95,2010-05,870,39,0.0469314079422
96,2010-04,831,-265,-0.241788321168
97,2010-03,1096,258,0.307875894988
98,2010-02,838,204,0.321766561514
99,2010-01,634,-237,-0.272101033295
100,2009-12,871,68,0.0846824408468
101,2009-11,803,-176,-0.179775280899
102,2009-10,979,284,0.408633093525
103,2009-09,695,374,1.16510903427
104,2009-08,321,-18,-0.0530973451327
105,2009-07,339,-83,-0.196682464455
106,2009-06,422,-50,-0.10593220339
107,2009-05,472,28,0.0630630630631
108,2009-04,444,-239,-0.349926793558
109,2009-03,683,-98,-0.125480153649
110,2009-02,781,298,0.616977225673
111,2009-01,483,-113,-0.189597315436
112,2008-12,596,-14,-0.0229508196721
113,2008-11,610,-249,-0.289871944121
114,2008-10,859,435,1.02594339623
115,2008-09,424,-191,-0.310569105691
116,2008-08,615,333,1.18085106383
117,2008-07,282,12,0.0444444444444
118,2008-06,270,-106,-0.281914893617
119,2008-05,376,-191,-0.336860670194
120,2008-04,567,-258,-0.312727272727
121,2008-03,825,-38,-0.0440324449594
122,2008-02,863,272,0.460236886633
123,2008-01,591,-90,-0.132158590308
124,2007-12,681,-535,-0.439967105263
125,2007-11,1216,28,0.023569023569
126,2007-10,1188,530,0.80547112462
127,2007-09,658,-330,-0.334008097166
128,2007-08,988,32,0.0334728033473
129,2007-07,956,-229,-0.193248945148
130,2007-06,1185,2,0.00169061707523
131,2007-05,1183,-110,-0.0850734725445
132,2007-04,1293,-331,-0.20381773399
