,date,nums,increment,ratio
0,2018,1184,-7816,-0.868444444444
1,2017,9000,2848,0.462938881664
2,2016,6152,-2151,-0.259062989281
3,2015,8303,1488,0.218341892883
4,2014,6815,-2009,-0.227674524025
5,2013,8824,-1089,-0.109855744981
6,2012,9913,1114,0.126605296056
7,2011,8799,-2381,-0.212969588551
8,2010,11180,3887,0.532976827094
9,2009,7293,415,0.0603373073568
10,2008,6878,-6182,-0.473353751914
11,2007,13060,-352,-0.0262451535938
12,2006,13412,2395,0.217391304348
13,2005,11017,3672,0.499931926481
14,2004,7345,2940,0.66742338252
15,2003,4405,965,0.280523255814
16,2002,3440,1212,0.543985637343
17,2001,2228,1380,1.62735849057
18,2000,848,0,0.0
