,date,nums,increment,ratio
0,2018-04,34,0,0.0
1,2018-03,34,12,0.545454545455
2,2018-02,22,-15,-0.405405405405
3,2018-01,37,17,0.85
4,2017-12,20,-19,-0.487179487179
5,2017-11,39,-3,-0.0714285714286
6,2017-10,42,8,0.235294117647
7,2017-09,34,6,0.214285714286
8,2017-08,28,-11,-0.282051282051
9,2017-07,39,10,0.344827586207
10,2017-06,29,-2,-0.0645161290323
11,2017-05,31,2,0.0689655172414
12,2017-04,29,-2,-0.0645161290323
13,2017-03,31,3,0.107142857143
14,2017-02,28,3,0.12
15,2017-01,25,-8,-0.242424242424
16,2016-12,33,4,0.137931034483
17,2016-11,29,17,1.41666666667
18,2016-10,12,-16,-0.571428571429
19,2016-09,28,3,0.12
20,2016-08,25,-1,-0.0384615384615
21,2016-07,26,1,0.04
22,2016-06,25,-5,-0.166666666667
23,2016-05,30,11,0.578947368421
24,2016-04,19,2,0.117647058824
25,2016-03,17,-2,-0.105263157895
26,2016-02,19,0,0.0
27,2016-01,19,-1,-0.05
28,2015-12,20,-4,-0.166666666667
29,2015-11,24,0,0.0
30,2015-10,24,1,0.0434782608696
31,2015-09,23,4,0.210526315789
32,2015-08,19,6,0.461538461538
33,2015-07,13,-1,-0.0714285714286
34,2015-06,14,-5,-0.263157894737
35,2015-05,19,7,0.583333333333
36,2015-04,12,0,0.0
37,2015-03,12,-4,-0.25
38,2015-02,16,2,0.142857142857
39,2015-01,14,7,1.0
40,2014-12,7,-6,-0.461538461538
41,2014-11,13,-1,-0.0714285714286
42,2014-10,14,6,0.75
43,2014-09,8,0,0.0
