,date,nums,increment,ratio
0,2018-04,3,0,0.0
1,2018-03,3,0,0.0
2,2018-02,3,-6,-0.666666666667
3,2018-01,9,6,2.0
4,2017-12,3,-4,-0.571428571429
5,2017-11,7,1,0.166666666667
6,2017-10,6,-2,-0.25
7,2017-08,8,-2,-0.2
8,2017-07,10,3,0.428571428571
9,2017-06,7,2,0.4
10,2017-05,5,0,0.0
11,2017-04,5,-9,-0.642857142857
12,2017-03,14,12,6.0
13,2017-02,2,0,0.0
14,2017-01,2,-2,-0.5
15,2016-12,4,-2,-0.333333333333
16,2016-11,6,3,1.0
17,2016-10,3,-8,-0.727272727273
18,2016-09,11,5,0.833333333333
19,2016-08,6,3,1.0
20,2016-07,3,-2,-0.4
21,2016-06,5,-4,-0.444444444444
22,2016-05,9,4,0.8
23,2016-04,5,-6,-0.545454545455
24,2016-03,11,5,0.833333333333
25,2016-02,6,3,1.0
26,2016-01,3,-10,-0.769230769231
27,2015-12,13,11,5.5
28,2015-11,2,0,0.0
29,2015-10,2,0,0.0
30,2015-09,2,0,0.0
31,2015-08,2,-3,-0.6
32,2015-07,5,-5,-0.5
33,2015-06,10,7,2.33333333333
34,2015-05,3,1,0.5
35,2015-04,2,1,1.0
36,2015-02,1,0,0.0
37,2015-01,1,0,0.0
38,2014-12,1,0,0.0
39,2014-10,1,0,0.0
