,date,nums,increment,ratio
0,2018-04,105,15,0.166666666667
1,2018-03,90,30,0.5
2,2018-02,60,-10,-0.142857142857
3,2018-01,70,-17,-0.195402298851
4,2017-12,87,-5,-0.054347826087
5,2017-11,92,0,0.0
6,2017-10,92,-8,-0.08
7,2017-09,100,19,0.234567901235
8,2017-08,81,-14,-0.147368421053
9,2017-07,95,37,0.637931034483
10,2017-06,58,-14,-0.194444444444
11,2017-05,72,4,0.0588235294118
12,2017-04,68,2,0.030303030303
13,2017-03,66,17,0.34693877551
14,2017-02,49,-19,-0.279411764706
15,2017-01,68,8,0.133333333333
16,2016-12,60,12,0.25
17,2016-11,48,-9,-0.157894736842
18,2016-10,57,-35,-0.380434782609
19,2016-09,92,30,0.483870967742
20,2016-08,62,20,0.47619047619
21,2016-07,42,-6,-0.125
22,2016-06,48,-15,-0.238095238095
23,2016-05,63,14,0.285714285714
24,2016-04,49,4,0.0888888888889
25,2016-03,45,16,0.551724137931
26,2016-02,29,-12,-0.292682926829
27,2016-01,41,-11,-0.211538461538
28,2015-12,52,21,0.677419354839
29,2015-11,31,-16,-0.340425531915
30,2015-10,47,15,0.46875
31,2015-09,32,-2,-0.0588235294118
32,2015-08,34,0,0.0
33,2015-07,34,-6,-0.15
34,2015-06,40,-5,-0.111111111111
35,2015-05,45,7,0.184210526316
36,2015-04,38,2,0.0555555555556
37,2015-03,36,-6,-0.142857142857
38,2015-02,42,-16,-0.275862068966
39,2015-01,58,30,1.07142857143
40,2014-12,28,-15,-0.348837209302
41,2014-11,43,-39,-0.475609756098
42,2014-10,82,-16,-0.163265306122
43,2014-09,98,0,0.0
