,date,nums,increment,ratio
0,2018,78,-205,-0.724381625442
1,2017,283,-195,-0.407949790795
2,2016,478,126,0.357954545455
3,2015,352,-66,-0.157894736842
4,2014,418,6,0.0145631067961
5,2013,412,-29,-0.0657596371882
6,2012,441,-7,-0.015625
7,2011,448,80,0.217391304348
8,2010,368,-484,-0.568075117371
9,2009,852,315,0.586592178771
10,2008,537,-181,-0.25208913649
11,2007,718,351,0.956403269755
12,2006,367,249,2.11016949153
13,2005,118,-143,-0.547892720307
14,2004,261,87,0.5
15,2003,174,130,2.95454545455
16,2002,44,0,0.0
