,date,nums,increment,ratio
0,2018-04,86,-6,-0.0652173913043
1,2018-03,92,23,0.333333333333
2,2018-02,69,-3,-0.0416666666667
3,2018-01,72,-8,-0.1
4,2017-12,80,-15,-0.157894736842
5,2017-11,95,22,0.301369863014
6,2017-10,73,-27,-0.27
7,2017-09,100,7,0.0752688172043
8,2017-08,93,10,0.120481927711
9,2017-07,83,-4,-0.0459770114943
10,2017-06,87,5,0.0609756097561
11,2017-05,82,10,0.138888888889
12,2017-04,72,-9,-0.111111111111
13,2017-03,81,25,0.446428571429
14,2017-02,56,8,0.166666666667
15,2017-01,48,-32,-0.4
16,2016-12,80,4,0.0526315789474
17,2016-11,76,13,0.206349206349
18,2016-10,63,-16,-0.20253164557
19,2016-09,79,-3,-0.0365853658537
20,2016-08,82,19,0.301587301587
21,2016-07,63,-3,-0.0454545454545
22,2016-06,66,-5,-0.0704225352113
23,2016-05,71,-7,-0.0897435897436
24,2016-04,78,9,0.130434782609
25,2016-03,69,32,0.864864864865
26,2016-02,37,-4,-0.0975609756098
27,2016-01,41,-12,-0.22641509434
28,2015-12,53,6,0.127659574468
29,2015-11,47,4,0.093023255814
30,2015-10,43,-3,-0.0652173913043
31,2015-09,46,6,0.15
32,2015-08,40,1,0.025641025641
33,2015-07,39,32,4.57142857143
34,2015-06,7,0,0.0
