,date,nums,increment,ratio
0,2018-04,225,-20,-0.0816326530612
1,2018-03,245,65,0.361111111111
2,2018-02,180,-18,-0.0909090909091
3,2018-01,198,-7,-0.0341463414634
4,2017-12,205,-9,-0.0420560747664
5,2017-11,214,-8,-0.036036036036
6,2017-10,222,-32,-0.125984251969
7,2017-09,254,56,0.282828282828
8,2017-08,198,29,0.171597633136
9,2017-07,169,-27,-0.137755102041
10,2017-06,196,-7,-0.0344827586207
11,2017-05,203,19,0.103260869565
12,2017-04,184,-31,-0.144186046512
13,2017-03,215,51,0.310975609756
14,2017-02,164,15,0.10067114094
15,2017-01,149,-43,-0.223958333333
16,2016-12,192,16,0.0909090909091
17,2016-11,176,28,0.189189189189
18,2016-10,148,4,0.0277777777778
19,2016-09,144,-44,-0.234042553191
20,2016-08,188,19,0.112426035503
21,2016-07,169,29,0.207142857143
22,2016-06,140,-8,-0.0540540540541
23,2016-05,148,-8,-0.0512820512821
24,2016-04,156,-13,-0.0769230769231
25,2016-03,169,44,0.352
26,2016-02,125,-2,-0.0157480314961
27,2016-01,127,-10,-0.0729927007299
28,2015-12,137,8,0.062015503876
29,2015-11,129,48,0.592592592593
30,2015-10,81,-34,-0.295652173913
31,2015-09,115,36,0.455696202532
32,2015-08,79,-15,-0.159574468085
33,2015-07,94,83,7.54545454545
34,2015-06,11,0,0.0
