,date,nums,increment,ratio
0,2018-04,14,-11,-0.44
1,2018-03,25,18,2.57142857143
2,2018-02,7,-3,-0.3
3,2018-01,10,1,0.111111111111
4,2017-12,9,-15,-0.625
5,2017-11,24,-25,-0.510204081633
6,2017-10,49,-2,-0.0392156862745
7,2017-09,51,18,0.545454545455
8,2017-08,33,-9,-0.214285714286
9,2017-07,42,35,5.0
10,2017-06,7,-12,-0.631578947368
11,2017-05,19,-17,-0.472222222222
12,2017-04,36,11,0.44
13,2017-03,25,4,0.190476190476
14,2017-02,21,8,0.615384615385
15,2017-01,13,2,0.181818181818
16,2016-12,11,-11,-0.5
17,2016-11,22,10,0.833333333333
18,2016-10,12,-23,-0.657142857143
19,2016-09,35,4,0.129032258065
20,2016-08,31,-2,-0.0606060606061
21,2016-07,33,8,0.32
22,2016-06,25,-2,-0.0740740740741
23,2016-05,27,-16,-0.372093023256
24,2016-04,43,-6,-0.122448979592
25,2016-03,49,13,0.361111111111
26,2016-02,36,15,0.714285714286
27,2016-01,21,-12,-0.363636363636
28,2015-12,33,-10,-0.232558139535
29,2015-11,43,25,1.38888888889
30,2015-10,18,-20,-0.526315789474
31,2015-09,38,8,0.266666666667
32,2015-08,30,12,0.666666666667
33,2015-07,18,-1,-0.0526315789474
34,2015-06,19,-10,-0.344827586207
35,2015-05,29,3,0.115384615385
36,2015-04,26,-25,-0.490196078431
37,2015-03,51,11,0.275
38,2015-02,40,13,0.481481481481
39,2015-01,27,9,0.5
40,2014-12,18,16,8.0
41,2014-11,2,0,0.0
