,date,nums,increment,ratio
0,2018-05,12,-452,-0.974137931034
1,2018-04,464,25,0.0569476082005
2,2018-03,439,71,0.192934782609
3,2018-02,368,12,0.0337078651685
4,2018-01,356,-9,-0.0246575342466
5,2017-12,365,-144,-0.282907662083
6,2017-11,509,-220,-0.301783264746
7,2017-10,729,406,1.25696594427
8,2017-09,323,-23,-0.0664739884393
9,2017-08,346,4,0.0116959064327
10,2017-07,342,-44,-0.113989637306
11,2017-06,386,2,0.00520833333333
12,2017-05,384,-55,-0.125284738041
13,2017-04,439,122,0.384858044164
14,2017-03,317,-60,-0.159151193634
15,2017-02,377,10,0.0272479564033
16,2017-01,367,-162,-0.306238185255
17,2016-12,529,251,0.902877697842
18,2016-11,278,-32,-0.103225806452
19,2016-10,310,6,0.0197368421053
20,2016-09,304,57,0.230769230769
21,2016-08,247,-2,-0.00803212851406
22,2016-07,249,28,0.126696832579
23,2016-06,221,-122,-0.355685131195
24,2016-05,343,24,0.0752351097179
25,2016-04,319,37,0.131205673759
26,2016-03,282,-6,-0.0208333333333
27,2016-02,288,-18,-0.0588235294118
28,2016-01,306,72,0.307692307692
29,2015-12,234,13,0.0588235294118
30,2015-11,221,-17,-0.0714285714286
31,2015-10,238,-15,-0.0592885375494
32,2015-09,253,52,0.258706467662
33,2015-08,201,77,0.620967741935
34,2015-07,124,-31,-0.2
35,2015-06,155,-9,-0.0548780487805
36,2015-05,164,12,0.0789473684211
37,2015-04,152,-23,-0.131428571429
38,2015-03,175,3,0.0174418604651
39,2015-02,172,-87,-0.335907335907
40,2015-01,259,157,1.53921568627
41,2014-12,102,94,11.75
42,2014-11,8,0,0.0
