,date,nums,increment,ratio
0,2017-10,963,-83,-0.0793499043977
1,2017-09,1046,-167,-0.137675185491
2,2017-08,1213,147,0.137898686679
3,2017-07,1066,-69,-0.0607929515419
4,2017-06,1135,26,0.0234445446348
5,2017-05,1109,60,0.0571973307912
6,2017-04,1049,-177,-0.144371941272
7,2017-03,1226,114,0.102517985612
8,2017-02,1112,196,0.213973799127
9,2017-01,916,15,0.0166481687014
10,2016-12,901,-65,-0.0672877846791
11,2016-11,966,-251,-0.206244864421
12,2016-10,1217,206,0.203758654797
13,2016-09,1011,39,0.0401234567901
14,2016-08,972,146,0.176755447942
15,2016-07,826,34,0.0429292929293
16,2016-06,792,-139,-0.149301825994
17,2016-05,931,-149,-0.137962962963
18,2016-04,1080,80,0.08
19,2016-03,1000,226,0.291989664083
20,2016-02,774,-269,-0.25790987536
21,2016-01,1043,127,0.13864628821
22,2015-12,916,-33,-0.0347734457323
23,2015-11,949,-158,-0.142728093948
24,2015-10,1107,-784,-0.414595452142
25,2015-09,1891,1219,1.81398809524
26,2015-08,672,428,1.75409836066
27,2015-07,244,-1,-0.00408163265306
28,2015-06,245,-411,-0.626524390244
29,2015-05,656,174,0.360995850622
30,2015-04,482,-213,-0.306474820144
31,2015-03,695,-619,-0.471080669711
32,2015-02,1314,-1068,-0.448362720403
33,2015-01,2382,-3224,-0.575098109169
34,2014-12,5606,5113,10.3711967546
35,2014-11,493,0,0.0
