,date,nums,increment,ratio
0,2018-04,445,-412,-0.480746791132
1,2018-03,857,8,0.00942285041225
2,2018-02,849,-164,-0.161895360316
3,2018-01,1013,108,0.119337016575
4,2017-12,905,-183,-0.168198529412
5,2017-11,1088,-133,-0.108927108927
6,2017-10,1221,-469,-0.277514792899
7,2017-09,1690,-716,-0.297589359933
8,2017-08,2406,-521,-0.17799795012
9,2017-07,2927,141,0.0506101938263
10,2017-06,2786,558,0.250448833034
11,2017-05,2228,-314,-0.123524783635
12,2017-04,2542,-580,-0.185778347213
13,2017-03,3122,521,0.20030757401
14,2017-02,2601,-689,-0.209422492401
15,2017-01,3290,402,0.1391966759
16,2016-12,2888,-167,-0.0546644844517
17,2016-11,3055,416,0.15763546798
18,2016-10,2639,-1290,-0.328327818783
19,2016-09,3929,-494,-0.111688898937
20,2016-08,4423,915,0.260832383124
21,2016-07,3508,-374,-0.0963420917053
22,2016-06,3882,572,0.172809667674
23,2016-05,3310,143,0.0451531417746
24,2016-04,3167,-1055,-0.249881572714
25,2016-03,4222,323,0.082841754296
26,2016-02,3899,69,0.0180156657963
27,2016-01,3830,244,0.0680423870608
28,2015-12,3586,-216,-0.0568122041031
29,2015-11,3802,267,0.0755304101839
30,2015-10,3535,-539,-0.132302405498
31,2015-09,4074,-82,-0.0197305101059
32,2015-08,4156,10,0.00241196333816
33,2015-07,4146,200,0.0506842372022
34,2015-06,3946,834,0.267994858612
35,2015-05,3112,-761,-0.196488510199
36,2015-04,3873,-517,-0.117767653759
37,2015-03,4390,2081,0.901255954959
38,2015-02,2309,464,0.251490514905
39,2015-01,1845,167,0.0995232419547
40,2014-12,1678,405,0.318146111548
41,2014-11,1273,-539,-0.297461368653
42,2014-10,1812,-259,-0.125060357315
43,2014-09,2071,163,0.085429769392
44,2014-08,1908,148,0.0840909090909
45,2014-07,1760,179,0.113219481341
46,2014-06,1581,497,0.458487084871
47,2014-05,1084,-171,-0.13625498008
48,2014-04,1255,-633,-0.335275423729
49,2014-03,1888,65,0.0356555128908
50,2014-02,1823,328,0.219397993311
51,2014-01,1495,219,0.171630094044
52,2013-12,1276,248,0.241245136187
53,2013-11,1028,690,2.04142011834
54,2013-10,338,0,0.0
