,date,nums,increment,ratio
0,2018-04,15,-9,-0.375
1,2018-03,24,19,3.8
2,2018-02,5,-14,-0.736842105263
3,2018-01,19,0,0.0
4,2017-12,19,1,0.0555555555556
5,2017-11,18,0,0.0
6,2017-10,18,-11,-0.379310344828
7,2017-09,29,9,0.45
8,2017-08,20,2,0.111111111111
9,2017-07,18,-4,-0.181818181818
10,2017-06,22,-4,-0.153846153846
11,2017-05,26,4,0.181818181818
12,2017-04,22,-16,-0.421052631579
13,2017-03,38,15,0.652173913043
14,2017-02,23,-4,-0.148148148148
15,2017-01,27,-4,-0.129032258065
16,2016-12,31,4,0.148148148148
17,2016-11,27,4,0.173913043478
18,2016-10,23,2,0.0952380952381
19,2016-09,21,-16,-0.432432432432
20,2016-08,37,0,0.0
21,2016-07,37,8,0.275862068966
22,2016-06,29,6,0.260869565217
23,2016-05,23,-3,-0.115384615385
24,2016-04,26,-17,-0.395348837209
25,2016-03,43,27,1.6875
26,2016-02,16,-12,-0.428571428571
27,2016-01,28,-2,-0.0666666666667
28,2015-12,30,-9,-0.230769230769
29,2015-11,39,17,0.772727272727
30,2015-10,22,-14,-0.388888888889
31,2015-09,36,5,0.161290322581
32,2015-08,31,5,0.192307692308
33,2015-07,26,-7,-0.212121212121
34,2015-06,33,7,0.269230769231
35,2015-05,26,-13,-0.333333333333
36,2015-04,39,13,0.5
37,2015-03,26,4,0.181818181818
38,2015-02,22,-2,-0.0833333333333
39,2015-01,24,-1,-0.04
40,2014-12,25,-3,-0.107142857143
41,2014-11,28,-13,-0.317073170732
42,2014-10,41,28,2.15384615385
43,2014-09,13,-8,-0.380952380952
44,2014-08,21,-8,-0.275862068966
45,2014-07,29,2,0.0740740740741
46,2014-06,27,11,0.6875
47,2014-05,16,8,1.0
48,2014-04,8,-4,-0.333333333333
49,2014-03,12,8,2.0
50,2014-02,4,1,0.333333333333
51,2014-01,3,1,0.5
52,2013-12,2,-1,-0.333333333333
53,2013-11,3,0,0.0
