,date,nums,increment,ratio
0,2018-04,32,-22,-0.407407407407
1,2018-03,54,9,0.2
2,2018-02,45,-25,-0.357142857143
3,2018-01,70,11,0.186440677966
4,2017-12,59,-9,-0.132352941176
5,2017-11,68,10,0.172413793103
6,2017-10,58,11,0.234042553191
7,2017-09,47,-11,-0.189655172414
8,2017-08,58,3,0.0545454545455
9,2017-07,55,-9,-0.140625
10,2017-06,64,2,0.0322580645161
11,2017-05,62,7,0.127272727273
12,2017-04,55,-29,-0.345238095238
13,2017-03,84,28,0.5
14,2017-02,56,2,0.037037037037
15,2017-01,54,5,0.102040816327
16,2016-12,49,-10,-0.169491525424
17,2016-11,59,-1,-0.0166666666667
18,2016-10,60,-17,-0.220779220779
19,2016-09,77,28,0.571428571429
20,2016-08,49,-9,-0.155172413793
21,2016-07,58,4,0.0740740740741
22,2016-06,54,-9,-0.142857142857
23,2016-05,63,-14,-0.181818181818
24,2016-04,77,-21,-0.214285714286
25,2016-03,98,54,1.22727272727
26,2016-02,44,-1,-0.0222222222222
27,2016-01,45,-24,-0.347826086957
28,2015-12,69,5,0.078125
29,2015-11,64,25,0.641025641026
30,2015-10,39,-1,-0.025
31,2015-09,40,-7,-0.148936170213
32,2015-08,47,3,0.0681818181818
33,2015-07,44,-15,-0.254237288136
34,2015-06,59,-2,-0.0327868852459
35,2015-05,61,-4,-0.0615384615385
36,2015-04,65,-2,-0.0298507462687
37,2015-03,67,27,0.675
38,2015-02,40,6,0.176470588235
39,2015-01,34,-13,-0.276595744681
40,2014-12,47,5,0.119047619048
41,2014-11,42,-4,-0.0869565217391
42,2014-10,46,8,0.210526315789
43,2014-09,38,-16,-0.296296296296
44,2014-08,54,11,0.255813953488
45,2014-07,43,20,0.869565217391
46,2014-06,23,-18,-0.439024390244
47,2014-05,41,7,0.205882352941
48,2014-04,34,13,0.619047619048
49,2014-03,21,13,1.625
50,2014-02,8,3,0.6
51,2014-01,5,-2,-0.285714285714
52,2013-12,7,5,2.5
53,2013-11,2,0,0.0
