,date,nums,increment,ratio
0,2018-04,8,-18,-0.692307692308
1,2018-03,26,-17,-0.395348837209
2,2018-02,43,4,0.102564102564
3,2018-01,39,7,0.21875
4,2017-12,32,1,0.0322580645161
5,2017-11,31,-12,-0.279069767442
6,2017-10,43,27,1.6875
7,2017-09,16,-16,-0.5
8,2017-08,32,-50,-0.609756097561
9,2017-07,82,49,1.48484848485
10,2017-06,33,-10,-0.232558139535
11,2017-05,43,13,0.433333333333
12,2017-04,30,11,0.578947368421
13,2017-03,19,2,0.117647058824
14,2017-02,17,-37,-0.685185185185
15,2017-01,54,31,1.34782608696
16,2016-12,23,-4,-0.148148148148
17,2016-11,27,-9,-0.25
18,2016-10,36,8,0.285714285714
19,2016-09,28,-21,-0.428571428571
20,2016-08,49,9,0.225
21,2016-07,40,-29,-0.420289855072
22,2016-06,69,16,0.301886792453
23,2016-05,53,21,0.65625
24,2016-04,32,2,0.0666666666667
25,2016-03,30,-17,-0.36170212766
26,2016-02,47,7,0.175
27,2016-01,40,7,0.212121212121
28,2015-12,33,4,0.137931034483
29,2015-11,29,-43,-0.597222222222
30,2015-10,72,30,0.714285714286
31,2015-09,42,14,0.5
32,2015-08,28,-18,-0.391304347826
33,2015-07,46,-7,-0.132075471698
34,2015-06,53,5,0.104166666667
35,2015-05,48,17,0.548387096774
36,2015-04,31,-61,-0.663043478261
37,2015-03,92,20,0.277777777778
38,2015-02,72,-44,-0.379310344828
39,2015-01,116,84,2.625
40,2014-12,32,8,0.333333333333
41,2014-11,24,-7,-0.225806451613
42,2014-10,31,-11,-0.261904761905
43,2014-09,42,-13,-0.236363636364
44,2014-08,55,47,5.875
45,2014-07,8,3,0.6
46,2014-06,5,-24,-0.827586206897
47,2014-05,29,23,3.83333333333
48,2014-04,6,5,5.0
49,2014-03,1,-2,-0.666666666667
50,2014-02,3,0,0.0
51,2014-01,3,-1,-0.25
52,2013-11,4,-2,-0.333333333333
53,2013-10,6,-9,-0.6
54,2013-09,15,10,2.0
55,2013-08,5,3,1.5
56,2013-07,2,-7,-0.777777777778
57,2013-06,9,5,1.25
58,2013-05,4,1,0.333333333333
59,2013-04,3,-17,-0.85
60,2013-03,20,19,19.0
61,2013-02,1,-9,-0.9
62,2013-01,10,8,4.0
63,2012-12,2,-4,-0.666666666667
64,2012-11,6,5,5.0
65,2012-10,1,-10,-0.909090909091
66,2012-09,11,-64,-0.853333333333
67,2012-08,75,66,7.33333333333
68,2012-07,9,1,0.125
69,2012-06,8,-2,-0.2
70,2012-05,10,-11,-0.52380952381
71,2012-04,21,11,1.1
72,2012-03,10,9,9.0
73,2011-11,1,0,0.0
