,date,nums,increment,ratio
0,2018-04,109,-228,-0.676557863501
1,2018-03,337,-81,-0.193779904306
2,2018-02,418,52,0.142076502732
3,2018-01,366,65,0.215946843854
4,2017-12,301,-89,-0.228205128205
5,2017-11,390,-276,-0.414414414414
6,2017-10,666,184,0.381742738589
7,2017-09,482,14,0.0299145299145
8,2017-08,468,-204,-0.303571428571
9,2017-07,672,361,1.16077170418
10,2017-06,311,40,0.147601476015
11,2017-05,271,-40,-0.128617363344
12,2017-04,311,35,0.126811594203
13,2017-03,276,-9,-0.0315789473684
14,2017-02,285,-452,-0.613297150611
15,2017-01,737,268,0.571428571429
16,2016-12,469,-137,-0.226072607261
17,2016-11,606,-43,-0.0662557781202
18,2016-10,649,-81,-0.11095890411
19,2016-09,730,-97,-0.117291414752
20,2016-08,827,-20,-0.0236127508855
21,2016-07,847,319,0.604166666667
22,2016-06,528,184,0.53488372093
23,2016-05,344,-102,-0.22869955157
24,2016-04,446,-19,-0.0408602150538
25,2016-03,465,29,0.0665137614679
26,2016-02,436,-52,-0.106557377049
27,2016-01,488,-27,-0.052427184466
28,2015-12,515,32,0.0662525879917
29,2015-11,483,71,0.172330097087
30,2015-10,412,-113,-0.215238095238
31,2015-09,525,21,0.0416666666667
32,2015-08,504,-104,-0.171052631579
33,2015-07,608,1,0.00164744645799
34,2015-06,607,123,0.254132231405
35,2015-05,484,-111,-0.186554621849
36,2015-04,595,-308,-0.341085271318
37,2015-03,903,208,0.29928057554
38,2015-02,695,128,0.225749559083
39,2015-01,567,25,0.0461254612546
40,2014-12,542,-26,-0.0457746478873
41,2014-11,568,-200,-0.260416666667
42,2014-10,768,59,0.083215796897
43,2014-09,709,-94,-0.117061021171
44,2014-08,803,43,0.0565789473684
45,2014-07,760,127,0.200631911532
46,2014-06,633,-92,-0.126896551724
47,2014-05,725,-66,-0.0834386852086
48,2014-04,791,-14,-0.0173913043478
49,2014-03,805,-43,-0.0507075471698
50,2014-02,848,366,0.759336099585
51,2014-01,482,-232,-0.324929971989
52,2013-12,714,-484,-0.404006677796
53,2013-11,1198,663,1.23925233645
54,2013-10,535,294,1.21991701245
55,2013-09,241,-312,-0.564195298373
56,2013-08,553,151,0.375621890547
57,2013-07,402,-24,-0.056338028169
58,2013-06,426,146,0.521428571429
59,2013-05,280,-106,-0.274611398964
60,2013-04,386,-170,-0.305755395683
61,2013-03,556,181,0.482666666667
62,2013-02,375,-17,-0.0433673469388
63,2013-01,392,112,0.4
64,2012-12,280,52,0.228070175439
65,2012-11,228,-27,-0.105882352941
66,2012-10,255,-11,-0.0413533834586
67,2012-09,266,-100,-0.273224043716
68,2012-08,366,102,0.386363636364
69,2012-07,264,-36,-0.12
70,2012-06,300,-145,-0.325842696629
71,2012-05,445,107,0.316568047337
72,2012-04,338,-204,-0.376383763838
73,2012-03,542,352,1.85263157895
74,2012-02,190,-25,-0.116279069767
75,2012-01,215,-133,-0.382183908046
76,2011-12,348,-105,-0.23178807947
77,2011-11,453,207,0.841463414634
78,2011-10,246,-684,-0.735483870968
79,2011-09,930,252,0.371681415929
80,2011-08,678,225,0.496688741722
81,2011-07,453,7,0.0156950672646
82,2011-06,446,143,0.471947194719
83,2011-05,303,209,2.22340425532
84,2011-04,94,-82,-0.465909090909
85,2011-03,176,10,0.0602409638554
86,2011-02,166,-133,-0.444816053512
87,2011-01,299,20,0.0716845878136
88,2010-12,279,-53,-0.159638554217
89,2010-11,332,119,0.558685446009
90,2010-10,213,-38,-0.151394422311
91,2010-09,251,-25,-0.0905797101449
92,2010-08,276,137,0.985611510791
93,2010-07,139,-169,-0.548701298701
94,2010-06,308,-78,-0.20207253886
95,2010-05,386,6,0.0157894736842
96,2010-04,380,114,0.428571428571
97,2010-03,266,43,0.192825112108
98,2010-02,223,-123,-0.35549132948
99,2010-01,346,-65,-0.158150851582
100,2009-12,411,9,0.0223880597015
101,2009-11,402,128,0.467153284672
102,2009-10,274,-126,-0.315
103,2009-09,400,-99,-0.198396793587
104,2009-08,499,-224,-0.309820193638
105,2009-07,723,72,0.110599078341
106,2009-06,651,-226,-0.257696693273
107,2009-05,877,390,0.800821355236
108,2009-04,487,2,0.00412371134021
109,2009-03,485,131,0.370056497175
110,2009-02,354,-468,-0.569343065693
111,2009-01,822,213,0.349753694581
112,2008-12,609,-86,-0.123741007194
113,2008-11,695,201,0.406882591093
114,2008-10,494,81,0.19612590799
115,2008-09,413,-542,-0.567539267016
116,2008-08,955,-176,-0.155614500442
117,2008-07,1131,625,1.23517786561
118,2008-06,506,-28,-0.0524344569288
119,2008-05,534,-55,-0.0933786078098
120,2008-04,589,-105,-0.151296829971
121,2008-03,694,-75,-0.0975292587776
122,2008-02,769,43,0.0592286501377
123,2008-01,726,343,0.895561357702
124,2007-12,383,-189,-0.33041958042
125,2007-11,572,94,0.196652719665
126,2007-10,478,70,0.171568627451
127,2007-09,408,0,0.0
128,2007-08,408,-234,-0.364485981308
