,date,nums,increment,ratio
0,2018,1230,-3940,-0.762088974855
1,2017,5170,-1665,-0.243599122165
2,2016,6835,-63,-0.00913308205277
3,2015,6898,-1536,-0.182119990515
4,2014,8434,2376,0.392208649719
5,2013,6058,2369,0.642179452426
6,2012,3689,-903,-0.196646341463
7,2011,4592,1193,0.350985583995
8,2010,3399,-2986,-0.467658574785
9,2009,6385,-1730,-0.213185459026
10,2008,8115,2354,0.408609616386
11,2007,5761,-714,-0.11027027027
12,2006,6475,905,0.162477558348
13,2005,5570,1700,0.439276485788
14,2004,3870,-2225,-0.365053322395
15,2003,6095,-574,-0.0860698755436
16,2002,6669,2275,0.51775147929
17,2001,4394,-471,-0.0968139773895
18,2000,4865,2073,0.742478510029
19,1999,2792,0,0.0
