,date,nums,increment,ratio
0,2018-05,4,-17,-0.809523809524
1,2018-04,21,-20,-0.487804878049
2,2018-03,41,-73,-0.640350877193
3,2018-02,114,60,1.11111111111
4,2018-01,54,11,0.255813953488
5,2017-12,43,-21,-0.328125
6,2017-11,64,-28,-0.304347826087
7,2017-10,92,23,0.333333333333
8,2017-09,69,6,0.0952380952381
9,2017-08,63,1,0.0161290322581
10,2017-07,62,8,0.148148148148
11,2017-06,54,5,0.102040816327
12,2017-05,49,-3,-0.0576923076923
13,2017-04,52,5,0.106382978723
14,2017-03,47,3,0.0681818181818
15,2017-02,44,-47,-0.516483516484
16,2017-01,91,52,1.33333333333
17,2016-12,39,-4,-0.093023255814
18,2016-11,43,7,0.194444444444
19,2016-10,36,-2,-0.0526315789474
20,2016-09,38,-21,-0.35593220339
21,2016-08,59,-16,-0.213333333333
22,2016-07,75,31,0.704545454545
23,2016-06,44,13,0.41935483871
24,2016-05,31,-20,-0.392156862745
25,2016-04,51,-14,-0.215384615385
26,2016-03,65,32,0.969696969697
27,2016-02,33,-6,-0.153846153846
28,2016-01,39,-16,-0.290909090909
29,2015-12,55,16,0.410256410256
30,2015-11,39,-30,-0.434782608696
31,2015-10,69,19,0.38
32,2015-09,50,1,0.0204081632653
33,2015-08,49,-16,-0.246153846154
34,2015-07,65,-3,-0.0441176470588
35,2015-06,68,8,0.133333333333
36,2015-05,60,16,0.363636363636
37,2015-04,44,-36,-0.45
38,2015-03,80,-9,-0.101123595506
39,2015-02,89,20,0.289855072464
40,2015-01,69,24,0.533333333333
41,2014-12,45,3,0.0714285714286
42,2014-11,42,21,1.0
43,2014-10,21,-47,-0.691176470588
44,2014-09,68,27,0.658536585366
45,2014-08,41,-9,-0.18
46,2014-07,50,31,1.63157894737
47,2014-06,19,-6,-0.24
48,2014-05,25,3,0.136363636364
49,2014-04,22,-7,-0.241379310345
50,2014-03,29,-2,-0.0645161290323
51,2014-02,31,7,0.291666666667
52,2014-01,24,4,0.2
53,2013-12,20,3,0.176470588235
54,2013-11,17,-23,-0.575
55,2013-10,40,-12,-0.230769230769
56,2013-09,52,26,1.0
57,2013-08,26,-1,-0.037037037037
58,2013-07,27,7,0.35
59,2013-06,20,5,0.333333333333
60,2013-05,15,-6,-0.285714285714
61,2013-04,21,-3,-0.125
62,2013-03,24,1,0.0434782608696
63,2013-02,23,3,0.15
64,2013-01,20,8,0.666666666667
65,2012-12,12,-1,-0.0769230769231
66,2012-11,13,-1,-0.0714285714286
67,2012-10,14,-16,-0.533333333333
68,2012-09,30,-5,-0.142857142857
69,2012-08,35,9,0.346153846154
70,2012-07,26,3,0.130434782609
71,2012-06,23,-2,-0.08
72,2012-05,25,-15,-0.375
73,2012-04,40,13,0.481481481481
74,2012-03,27,25,12.5
75,2012-01,2,1,1.0
76,2011-11,1,0,0.0
77,2011-07,1,0,0.0
