,date,nums,increment,ratio
0,2018-04,1,0,0.0
1,2018-03,1,0,0.0
2,2018-02,1,0,0.0
3,2018-01,1,0,0.0
4,2017-12,1,-1,-0.5
5,2017-10,2,1,1.0
6,2017-08,1,-1,-0.5
7,2017-07,2,-2,-0.5
8,2016-11,4,-8,-0.666666666667
9,2016-09,12,9,3.0
10,2016-08,3,2,2.0
11,2016-07,1,-3,-0.75
12,2016-05,4,-4,-0.5
13,2016-03,8,-20,-0.714285714286
14,2016-02,28,22,3.66666666667
15,2016-01,6,-6,-0.5
16,2015-12,12,11,11.0
17,2015-11,1,-8,-0.888888888889
18,2015-10,9,6,2.0
19,2015-08,3,1,0.5
20,2015-07,2,1,1.0
21,2015-06,1,-3,-0.75
22,2015-03,4,-3,-0.428571428571
23,2015-02,7,5,2.5
24,2014-04,2,-3,-0.6
25,2013-08,5,1,0.25
26,2013-06,4,-3,-0.428571428571
27,2013-04,7,-25,-0.78125
28,2013-03,32,0,0.0
