,date,nums,increment,ratio
0,2018-04,28,-46,-0.621621621622
1,2018-03,74,13,0.213114754098
2,2018-02,61,-17,-0.217948717949
3,2018-01,78,-3,-0.037037037037
4,2017-12,81,-21,-0.205882352941
5,2017-11,102,-32,-0.238805970149
6,2017-10,134,42,0.45652173913
7,2017-09,92,31,0.508196721311
8,2017-08,61,-25,-0.290697674419
9,2017-07,86,9,0.116883116883
10,2017-06,77,-46,-0.373983739837
11,2017-05,123,26,0.268041237113
12,2017-04,97,10,0.114942528736
13,2017-03,87,12,0.16
14,2017-02,75,26,0.530612244898
15,2017-01,49,-28,-0.363636363636
16,2016-12,77,-24,-0.237623762376
17,2016-11,101,-35,-0.257352941176
18,2016-10,136,29,0.271028037383
19,2016-09,107,21,0.244186046512
20,2016-08,86,-21,-0.196261682243
21,2016-07,107,35,0.486111111111
22,2016-06,72,-25,-0.257731958763
23,2016-05,97,12,0.141176470588
24,2016-04,85,-55,-0.392857142857
25,2016-03,140,44,0.458333333333
26,2016-02,96,8,0.0909090909091
27,2016-01,88,59,2.03448275862
28,2015-12,29,-13,-0.309523809524
29,2015-11,42,-22,-0.34375
30,2015-10,64,-74,-0.536231884058
31,2015-09,138,2,0.0147058823529
32,2015-08,136,51,0.6
33,2015-07,85,-122,-0.589371980676
34,2015-06,207,65,0.457746478873
35,2015-05,142,63,0.79746835443
36,2015-04,79,-14,-0.150537634409
37,2015-03,93,-6,-0.0606060606061
38,2015-02,99,-6,-0.0571428571429
39,2015-01,105,52,0.981132075472
40,2014-12,53,-92,-0.634482758621
41,2014-11,145,136,15.1111111111
42,2014-10,9,5,1.25
43,2014-09,4,-5,-0.555555555556
44,2014-08,9,-4,-0.307692307692
45,2014-07,13,-3,-0.1875
46,2014-06,16,10,1.66666666667
47,2014-05,6,-13,-0.684210526316
48,2014-04,19,-7,-0.269230769231
49,2014-03,26,2,0.0833333333333
50,2014-02,24,16,2.0
51,2014-01,8,-11,-0.578947368421
52,2013-12,19,-8,-0.296296296296
53,2013-10,27,15,1.25
54,2013-09,12,-57,-0.826086956522
55,2013-08,69,34,0.971428571429
56,2013-07,35,-67,-0.656862745098
57,2013-06,102,-11,-0.0973451327434
58,2013-05,113,-51,-0.310975609756
59,2013-04,164,11,0.0718954248366
60,2013-03,153,95,1.63793103448
61,2013-02,58,-31,-0.348314606742
62,2013-01,89,79,7.9
63,2012-12,10,-5,-0.333333333333
64,2012-11,15,0,0.0
